Year,Number a (thousands,,,Taxable earnings b (millions of dollars,,,"OASDI contributions c,d (millions of dolla",,,0
,Total,Wage and salary,Self- employed,Total,Wage and salary,Self- employed,Total,Wage and salary,Self- employed,0
1937,"32,900","32,900",. . .,"29,620","29,620",. . .,592,592,. . .,0
1940,"35,390","35,390",. . .,"32,970","32,970",. . .,659,659,. . .,0
1945,"46,390","46,390",. . .,"62,950","62,950",. . .,"1,259","1,259",. . .,0
1950,"48,280","48,280",. . .,"87,500","87,500",. . .,"2,625","2,625",. . .,0
1951,"58,120","54,630","4,190","120,770","111,250","9,520","3,552","3,338",214,0
1952,"59,580","56,060","4,240","128,640","118,880","9,760","3,786","3,566",220,0
1953,"60,840","57,220","4,340","135,870","125,840","10,030","4,001","3,775",226,0
1954,"59,610","55,940","4,350","133,520","123,410","10,110","5,240","4,936",303,0
1955,"65,200","59,560","6,810","157,540","141,810","15,730","6,144","5,672",472,0
1956,"67,610","61,560","7,390","170,720","153,010","17,710","6,652","6,120",531,0
1957,"70,590","64,730","7,150","181,380","163,990","17,390","7,966","7,380",587,0
1958,"69,770","64,040","7,130","180,720","163,140","17,580","7,935","7,341",593,0
1959,"71,700","66,000","7,060","202,310","183,620","18,690","9,882","9,181",701,0
1960,"72,530","66,980","6,870","207,000","188,580","18,420","12,144","11,315",829,0
1961,"72,820","67,360","6,790","209,640","190,850","18,790","12,297","11,451",846,0
1962,"74,280","68,890","6,720","219,050","200,130","18,920","13,397","12,508",889,0
1963,"75,540","70,310","6,590","225,550","206,840","18,710","16,006","14,996","1,010",0
1964,"77,430","72,230","6,480","236,390","217,430","18,960","16,788","15,764","1,024",0
1965,"80,680","75,430","6,550","250,730","230,830","19,900","17,810","16,735","1,075",0
1966,"84,600","79,460","6,630","312,540","287,860","24,680","23,597","22,165","1,431",0
1967,"87,040","82,020","6,470","329,960","305,670","24,290","25,275","23,842","1,433",0
1968,"89,380","84,470","6,570","375,800","348,500","27,300","28,069","26,486","1,583",0
