Year,All workers ,,,Wage and salary,,,Self-employed ,,
,Total,Men,Women,Subtotal,Men,Women,Subtotal,Men,Women
 ,Number (thousands) ,,,,,,,,
1937,"32,900","23,810","9,090","32,900","23,810","9,090",. . .,. . .,. . .
1940,"35,390","25,570","9,820","35,390","25,570","9,820",. . .,. . .,. . .
1945,"46,390","28,820","17,570","46,390","28,820","17,570",. . .,. . .,. . .
1950,"48,280","32,620","15,660","48,280","32,620","15,660",. . .,. . .,. . .
1955,"65,200","43,140","22,060","59,560","38,240","21,320","6,810","5,980",830
1960,"72,530","47,900","24,630","66,980","43,100","23,880","6,870","5,990",880
1965,"80,680","51,990","28,690","75,430","47,500","27,930","6,550","5,640",910
1970,"93,090","57,330","35,760","88,180","53,180","35,000","6,270","5,370",900
1975,"100,200","59,520","40,680","94,900","55,140","39,760","7,000","5,790","1,210"
1980,"113,000","64,288","48,712","107,200","59,751","47,449","8,200","6,407","1,793"
1985,"119,800","66,113","53,687","113,100","61,285","51,815","10,600","7,623","2,977"
1986,"122,900","67,412","55,488","115,900","62,398","53,502","11,200","7,932","3,268"
1987,"125,600","68,591","57,009","118,200","63,306","54,894","12,000","8,450","3,550"
1988,"129,600","70,596","59,004","122,100","65,270","56,830","12,400","8,630","3,770"
1989,"131,700","71,517","60,183","123,900","66,105","57,795","12,900","8,842","4,058"
1990,"133,600","72,291","61,309","126,100","67,064","59,036","12,500","8,526","3,974"
1991,"133,000","71,787","61,213","125,200","66,406","58,794","12,800","8,669","4,131"
1992,"134,000","72,016","61,984","126,000","66,543","59,457","13,100","8,797","4,303"
1993,"136,100","73,154","62,946","128,100","67,673","60,427","13,200","8,840","4,360"
1994,"138,200","73,989","64,211","130,100","68,481","61,619","13,300","8,840","4,460"
1995,"141,000","75,444","65,556","132,800","69,900","62,900","13,500","8,908","4,592"
1996,"143,400","76,241","67,158","135,100","70,670","64,429","13,900","9,074","4,826"
1997,"146,145","77,498","68,647","137,765","71,910","65,855","14,020","9,078","4,942"
1998,"148,786","78,671","70,115","140,386","73,111","67,275","14,230","9,108","5,122"
1999,"151,333","80,042","71,291","142,703","74,376","68,327","14,500","9,224","5,276"
2000,"154,732","81,654","73,078","146,097","76,033","70,064","14,675","9,277","5,398"
2001,"155,416","82,006","73,410","146,596","76,303","70,293","14,930","9,354","5,576"
2002,"154,893","81,568","73,325","145,793","75,711","70,082","15,249","9,442","5,807"
2003,"154,576","81,263","73,313","145,101","75,200","69,901","15,969","9,860","6,109"
2004,"156,405","82,103","74,302","146,662","75,910","70,752","16,496","10,088","6,408"
2005,"158,511","83,073","75,438","148,530","76,758","71,772","17,098","10,395","6,703"
2006,"161,052","84,284","76,768","150,787","77,820","72,967","17,724","10,705","7,019"
2007,"162,928","85,134","77,794","152,474","78,612","73,862","18,214","10,891","7,323"
2008,"162,532","84,794","77,738","152,225","78,444","73,781","17,973","10,591","7,382"
2009,"157,940","81,903","76,037","147,375","75,522","71,853","17,901","10,405","7,496"
