Year,Total,Workers with earnings below the taxable maximum (by dollar amount of earnings),,,,,,,,,,,Workers with maximum earnings 
,,"1– 9,999","10,000– 19,999","20,000– 29,999","30,000– 39,999","40,000– 49,999","50,000– 59,999","60,000– 69,999","70,000– 79,999","80,000– 89,999","90,000– 99,999","100,000– 113,699 ",
 ,All wage and salary workers,,,,,,,,,,,,
1992,"126,000","46,372","29,812","20,699","12,554","7,084","a 2,42",. . .,. . .,. . .,. . .,. . .,"7,057"
1993,"128,100","46,571","29,900","21,134","12,786","7,371","a 3,32",. . .,. . .,. . .,. . .,. . .,"7,013"
1994,"130,100","46,267","29,903","21,482","13,230","7,709","4,310",a 27,. . .,. . .,. . .,. . .,"6,921"
1995,"132,800","45,781","30,142","22,097","13,853","8,171","4,662",a 49,. . .,. . .,. . .,. . .,"7,597"
1996,"135,100","45,333","29,832","22,612","14,435","8,706","5,052","a 1,05",. . .,. . .,. . .,. . .,"8,077"
1997,"137,765","44,407","29,676","23,076","15,243","9,330","5,523","a 2,10",. . .,. . .,. . .,. . .,"8,405"
1998,"140,386","43,260","29,360","23,586","16,095","10,062","6,008","a 3,26",. . .,. . .,. . .,. . .,"8,747"
1999,"142,703","42,682","28,975","23,861","16,763","10,546","6,456","3,974",a 85,. . .,. . .,. . .,"8,589"
2000,"146,097","42,214","28,443","24,306","17,384","11,330","7,056","4,439","a 1,99",. . .,. . .,. . .,"8,933"
2001,"146,596","41,296","27,746","23,983","17,661","11,776","7,462","4,730","3,151",a 17,. . .,. . .,"8,614"
2002,"145,793","40,873","26,910","23,495","17,607","11,853","7,662","4,957","3,329","a 1,26",. . .,. . .,"7,840"
2003,"145,101","40,165","26,247","22,988","17,541","11,996","7,794","5,173","3,467","a 1,82",. . .,. . .,"7,909"
2004,"146,662","39,515","25,914","22,822","17,672","12,370","8,221","5,571","3,767","a 2,21",. . .,. . .,"8,597"
2005,"148,530","39,134","25,683","22,867","17,910","12,719","8,559","5,821","3,972","a 2,87",. . .,. . .,"8,987"
2006,"150,787","38,672","25,237","22,742","18,210","13,162","9,002","6,243","4,309","3,018","a 1,10",. . .,"9,090"
2007,"152,474","38,072","24,892","22,546","18,298","13,445","9,436","6,598","4,592","3,267","a 1,95",. . .,"9,378"
2008,"152,225","37,171","24,415","22,024","18,178","13,426","9,649","6,804","4,822","3,491","2,536",534,"9,175"
2009,"147,375","36,578","23,767","20,990","17,322","12,787","9,263","6,528","4,704","3,432","2,494","1,428","8,081"
2010,"146,734","36,162","23,815","20,549","17,005","12,703","9,222","6,622","4,747","3,430","2,580","1,440","8,459"
2011 ,"147,920","35,267","24,006","20,639","17,009","12,835","9,366","6,789","4,923","3,614","2,682","1,525","9,265"
2012 ,"150,144","35,078","24,042","20,774","17,210","13,126","9,634","6,971","5,134","3,800","2,847","2,258","9,270"
2013 ,"152,378","35,131","24,090","20,845","17,441","13,341","9,922","7,150","5,337","3,934","2,966","3,009","9,211"
 ,Men,,,,,,,,,,,,
1992,"66,543","20,640","13,773","11,128","8,069","5,109","a 1,86",. . .,. . .,. . .,. . .,. . .,"5,955"
1993,"67,673","20,834","13,875","11,270","8,074","5,224","a 2,52",. . .,. . .,. . .,. . .,. . .,"5,869"
1994,"68,481","20,444","13,836","11,360","8,211","5,372","3,243",a 22,. . .,. . .,. . .,. . .,"5,794"
1995,"69,901","20,223","13,865","11,653","8,448","5,587","3,444",a 38,. . .,. . .,. . .,. . .,"6,292"
1996,"70,670","19,771","13,491","11,791","8,667","5,838","3,672",a 80,. . .,. . .,. . .,. . .,"6,641"
1997,"71,910","19,352","13,199","11,864","8,957","6,162","3,932","a 1,58",. . .,. . .,. . .,. . .,"6,862"
1998,"73,111","18,800","12,868","11,946","9,297","6,520","4,199","a 2,40",. . .,. . .,. . .,. . .,"7,074"
1999,"74,376","18,635","12,595","11,942","9,565","6,711","4,456","2,895",a 64,. . .,. . .,. . .,"6,936"
2000,"76,033","18,468","12,241","11,958","9,755","7,070","4,734","3,170","a 1,47",. . .,. . .,. . .,"7,163"
2001,"76,303","18,298","11,985","11,629","9,763","7,170","4,907","3,268","2,284",a 13,. . .,. . .,"6,862"
2002,"75,711","18,291","11,693","11,258","9,612","7,065","4,925","3,341","2,372",a 93,. . .,. . .,"6,217"
2003,"75,200","17,972","11,396","10,993","9,475","7,072","4,921","3,425","2,428","a 1,30",. . .,. . .,"6,210"
2004,"75,910","17,632","11,236","10,812","9,423","7,216","5,111","3,659","2,588","a 1,56",. . .,. . .,"6,670"
2005,"76,758","17,385","11,032","10,820","9,462","7,378","5,273","3,778","2,677","a 2,02",. . .,. . .,"6,926"
2006,"77,820","17,205","10,773","10,629","9,524","7,527","5,458","4,003","2,869","2,068",a 78,. . .,"6,976"
2007,"78,612","17,025","10,663","10,398","9,450","7,556","5,634","4,144","3,001","2,233","a 1,36",. . .,"7,139"
2008,"78,444","16,860","10,428","10,147","9,278","7,387","5,652","4,188","3,107","2,315","1,746",377,"6,960"
2009,"75,522","16,965","10,251","9,607","8,667","6,907","5,285","3,910","2,961","2,229","1,667",986,"6,087"
2010,"75,164","16,740","10,240","9,410","8,494","6,847","5,242","3,990","2,944","2,225","1,723",991,"6,318"
2011 ,"76,001","16,231","10,363","9,496","8,487","6,933","5,325","4,057","3,046","2,341","1,781","1,050","6,890"
2012 ,"77,256","16,076","10,360","9,592","8,589","7,087","5,466","4,142","3,173","2,443","1,876","1,559","6,892"
2013 ,"78,482","16,088","10,387","9,647","8,669","7,203","5,623","4,222","3,289","2,519","1,941","2,056","6,837"
 ,Women,,,,,,,,,,,,
1992,"59,457","25,732","16,039","9,571","4,485","1,975",a 55,. . .,. . .,. . .,. . .,. . .,"1,103"
1993,"60,427","25,737","16,026","9,864","4,712","2,147",a 79,. . .,. . .,. . .,. . .,. . .,"1,144"
1994,"61,619","25,823","16,068","10,122","5,020","2,337","1,067",a 5,. . .,. . .,. . .,. . .,"1,127"
1995,"62,900","25,558","16,277","10,444","5,405","2,584","1,217",a 11,. . .,. . .,. . .,. . .,"1,305"
1996,"64,429","25,563","16,341","10,819","5,768","2,868","1,380",a 25,. . .,. . .,. . .,. . .,"1,437"
1997,"65,855","25,054","16,477","11,211","6,285","3,169","1,591",a 52,. . .,. . .,. . .,. . .,"1,543"
1998,"67,275","24,460","16,492","11,640","6,798","3,541","1,808",a 86,. . .,. . .,. . .,. . .,"1,673"
1999,"68,327","24,048","16,380","11,919","7,199","3,835","2,000","1,079",a 21,. . .,. . .,. . .,"1,652"
2000,"70,064","23,745","16,203","12,348","7,630","4,260","2,321","1,268",a 51,. . .,. . .,. . .,"1,770"
2001,"70,293","22,997","15,761","12,354","7,898","4,606","2,555","1,462",867,a 4,. . .,. . .,"1,752"
2002,"70,082","22,581","15,218","12,237","7,995","4,788","2,737","1,617",958,a 32,. . .,. . .,"1,624"
2003,"69,901","22,193","14,852","11,995","8,066","4,924","2,873","1,748","1,038",a 51,. . .,. . .,"1,699"
2004,"70,752","21,884","14,678","12,010","8,249","5,154","3,110","1,912","1,179",a 65,. . .,. . .,"1,926"
2005,"71,772","21,749","14,650","12,047","8,448","5,341","3,286","2,042","1,295",a 85,. . .,. . .,"2,061"
2006,"72,967","21,467","14,464","12,113","8,686","5,634","3,544","2,240","1,439",950,a 31,. . .,"2,115"
2007,"73,862","21,047","14,229","12,147","8,848","5,888","3,802","2,454","1,591","1,034",a 58,. . .,"2,239"
2008,"73,781","20,311","13,987","11,878","8,900","6,039","3,996","2,616","1,714","1,176",791,157,"2,216"
2009,"71,853","19,612","13,516","11,383","8,656","5,881","3,978","2,618","1,743","1,203",827,442,"1,994"
2010,"71,570","19,422","13,575","11,139","8,512","5,855","3,981","2,631","1,804","1,205",857,449,"2,141"
2011 ,"71,919","19,037","13,643","11,142","8,523","5,901","4,041","2,731","1,877","1,273",901,475,"2,375"
2012 ,"72,888","19,002","13,682","11,182","8,621","6,039","4,168","2,829","1,961","1,357",970,698,"2,379"
2013 ,"73,896","19,043","13,702","11,198","8,772","6,139","4,298","2,928","2,048","1,414","1,025",953,"2,375"
,,,,,,,,,,,,,"SOURCE: Social Security Administration, Master Earnings File, 1 percent sample."
,,,,,,,,,,,,,NOTES: Taxable earnings consist of self-employment income and taxable wages.
,,,,,,,,,,,,,Totals do not necessarily equal the sum of rounded components.
,,,,,,,,,,,,,. . . = not applicable.
,,,,,,,,,,,,,a. Subject to revision.
,,,,,,,,,,,,,b. Preliminary data.
,,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
