Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75 or older
 ,"Fully insured for retirement benefits, survivor benefits, or both",,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,
1970,"108,734","4,149","14,872","12,848","10,242","9,290","9,727","9,978","9,096","7,960","6,808","5,264","3,798","4,703"
1971,"111,237","4,203","15,331","13,592","10,674","9,306","9,626","9,913","9,284","8,088","6,964","5,496","3,842","4,918"
1972,"113,798","4,241","15,511","14,481","11,235","9,500","9,450","9,913","9,377","8,241","7,079","5,707","3,973","5,091"
1973,"117,035","4,662","15,993","15,214","11,853","9,729","9,314","9,835","9,552","8,344","7,208","5,915","4,102","5,315"
1974,"120,463","5,186","16,543","16,050","12,390","9,948","9,316","9,689","9,724","8,430","7,347","6,098","4,268","5,473"
1975,"123,935","5,337","16,999","16,941","12,834","10,230","9,289","9,653","9,680","8,637","7,497","6,229","4,577","6,034"
1976,"126,745","5,219","17,462","17,457","13,600","10,666","9,317","9,557","9,638","8,822","7,650","6,383","4,752","6,223"
1977,"129,737","5,237","17,863","17,712","14,512","11,243","9,517","9,389","9,646","8,932","7,794","6,532","4,903","6,458"
1978,"134,157","6,198","18,491","18,207","15,288","11,892","9,772","9,274","9,591","9,111","7,879","6,671","5,066","6,715"
1979,"138,116","6,725","18,974","18,769","16,155","12,458","10,014","9,290","9,472","9,282","7,948","6,832","5,217","6,978"
1980,"141,124","6,594","19,278","19,290","17,078","12,918","10,322","9,255","9,465","9,255","8,137","6,958","5,341","7,235"
1981,"143,544","6,059","19,365","19,751","17,622","13,692","10,762","9,307","9,372","9,234","8,303","7,091","5,483","7,504"
1982,"145,525","5,391","19,120","20,185","17,860","14,611","11,348","9,507","9,230","9,236","8,433","7,193","5,614","7,797"
1983,"147,016","4,606","18,671","20,466","18,300","15,314","11,973","9,748","9,130","9,186","8,557","7,280","5,737","8,047"
1984,"149,028","4,173","18,272","20,713","18,784","16,137","12,491","10,011","9,106","9,119","8,709","7,265","5,892","8,357"
1985,"151,554","4,280","17,873","20,894","19,309","17,031","12,911","10,302","9,101","9,075","8,715","7,431","6,005","8,626"
1986,"154,035","4,396","17,410","21,003","19,802","17,559","13,687","10,716","9,171","8,986","8,676","7,628","6,107","8,892"
1987,"156,413","4,526","16,924","20,965","20,282","17,803","14,605","11,291","9,346","8,892","8,671","7,744","6,176","9,187"
1988,"159,077","4,863","16,546","20,970","20,607","18,283","15,300","11,913","9,581","8,826","8,644","7,818","6,275","9,452"
1989,"161,952","5,024","16,457","20,884","20,964","18,777","16,140","12,433","9,867","8,786","8,600","7,953","6,305","9,763"
