Monthly benefit (dollars),"Total, 62 or older",62–64,65–69,70–74,75–79,80–84,85 or older,0
Total, ,,,,,,,1
Number,"2,243,105","185,856","691,498","530,222","403,938","270,857","160,734",2
Percent,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2
Less than 100.00,2.4,7.7,2.4,1.9,1.8,1.4,1.0,0
100.00–124.90,1.1,2.6,1.2,1.1,1.0,0.8,0.6,0
125.00–149.90,1.3,2.7,1.3,1.3,1.1,0.9,0.8,0
150.00–174.90,1.3,2.6,1.4,1.4,1.2,0.9,0.8,0
175.00–199.90,1.3,2.6,1.4,1.3,1.1,0.9,0.7,0
200.00–224.90,1.3,2.6,1.4,1.3,1.1,0.9,0.8,0
225.00–249.90,1.4,2.6,1.4,1.4,1.3,1.2,1.1,0
250.00–274.90,1.7,3.2,1.7,1.6,1.5,1.3,1.2,0
275.00–299.90,1.8,3.6,1.9,1.7,1.5,1.4,1.3,0
300.00–324.90,1.9,3.4,1.9,1.8,1.7,1.5,1.6,0
325.00–349.90,1.9,3.2,1.9,1.9,1.8,1.6,1.5,0
350.00–374.90,1.9,3.0,1.9,1.9,1.9,1.7,1.6,0
375.00–399.90,1.9,2.8,1.8,1.9,1.8,1.7,1.6,0
400.00–424.90,1.9,2.7,1.8,1.9,1.8,1.7,1.7,0
425.00–449.90,1.9,2.6,1.7,1.9,1.9,1.9,1.9,0
450.00–474.90,2.0,2.6,1.8,1.9,2.0,2.1,2.1,0
475.00–499.90,2.0,2.5,1.7,2.0,2.1,2.2,2.2,0
500.00–524.90,2.1,2.3,1.7,2.0,2.2,2.3,2.5,0
525.00–549.90,2.2,2.3,1.7,2.1,2.4,2.6,2.9,0
550.00–574.90,2.3,2.3,1.7,2.2,2.5,2.9,3.6,0
575.00–599.90,2.6,2.3,1.8,2.3,2.8,3.4,5.2,0
600.00–624.90,2.8,2.3,1.8,2.5,3.0,3.9,6.3,0
625.00–649.90,3.4,2.2,1.9,2.8,3.9,6.0,7.4,0
650.00–674.90,4.1,2.1,1.9,3.1,5.5,8.5,7.6,0
675.00–699.90,4.1,2.1,2.0,3.3,6.3,8.3,5.4,0
700.00–724.90,4.0,2.6,2.5,3.9,6.2,6.0,3.6,0
725.00–749.90,3.8,3.3,2.9,4.2,5.3,3.8,3.1,0
750.00–774.90,3.5,3.4,3.0,4.2,4.0,2.7,2.8,0
775.00–799.90,3.3,3.3,3.1,4.2,3.1,2.4,2.8,0
800.00–824.90,3.1,3.1,3.1,4.1,2.8,2.1,2.7,0
825.00–849.90,2.9,2.9,3.0,3.7,2.4,2.1,2.8,0
850.00–874.90,4.9,5.1,5.2,5.0,4.3,4.4,5.7,0
900.00–924.90,3.8,3.2,3.9,3.8,3.8,3.8,4.8,0
950.00–974.90,3.1,1.0,3.2,3.2,3.3,3.3,3.2,0
"1,000.00 or more",15.0,1.1,27.1,15.3,9.5,7.3,5.2,0
Average benefit (dollars),671.32,487.82,738.57,682.34,652.08,645.97,648.91,0
,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",0
,,,,,,,NOTE: Totals do not necessarily equal the sum of rounded components.,0
,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
