Year,Number of children of—,,,,Total monthly benefits for children of— (thousands of dollars),,,
,All workers,Retired workers,Deceased workers,Disabled workers,All workers,Retired workers,Deceased workers,Disabled workers
 ,Total,,,,,,,
1957,"1,502,077","179,697","1,322,380",. . .,"57,951","3,932","54,019",. . .
1960,"2,000,451","268,168","1,576,802","155,481","93,276","7,576","81,003","4,697"
1965,"3,092,659","460,781","2,074,263","557,615","159,428","14,736","127,067","17,627"
1970,"4,122,305","545,708","2,687,997","888,600","279,845","24,473","221,041","34,330"
1980,"4,606,517","638,711","2,609,920","1,357,886","864,242","89,386","625,090","149,766"
1990,"3,187,010","422,200","1,776,013","988,797","991,628","109,497","720,206","161,926"
1995,"3,734,097","441,600","1,883,643","1,408,854","1,283,288","141,974","882,837","258,477"
2000,"3,802,863","458,951","1,878,007","1,465,905","1,547,808","181,177","1,033,055","333,575"
2001,"3,839,381","467,064","1,890,156","1,482,161","1,624,285","192,727","1,078,886","352,672"
2002,"3,910,256","476,684","1,907,899","1,525,673","1,692,471","203,265","1,115,415","373,791"
2003,"3,960,909","480,033","1,909,983","1,570,893","1,763,910","213,230","1,151,907","398,773"
2004,"3,986,319","482,894","1,904,631","1,598,794","1,838,926","224,538","1,190,871","423,518"
2005,"4,024,815","488,425","1,903,477","1,632,913","1,945,508","240,777","1,249,328","455,402"
2006,"4,040,530","489,940","1,898,862","1,651,728","2,031,723","253,820","1,298,187","479,716"
2007,"4,050,691","494,296","1,891,706","1,664,689","2,095,892","265,936","1,332,248","497,708"
2008,"4,131,594","525,197","1,914,524","1,691,873","2,262,489","298,072","1,427,099","537,318"
2009,"4,230,578","561,451","1,921,148","1,747,979","2,311,770","320,237","1,435,847","555,686"
2010,"4,312,554","579,859","1,912,789","1,819,906","2,351,759","334,405","1,437,963","579,391"
2011,"4,375,451","594,355","1,907,336","1,873,760","2,470,586","358,189","1,493,713","618,685"
2012,"4,419,404","612,256","1,907,096","1,900,052","2,540,605","378,036","1,523,923","638,646"
2013,"4,412,620","625,339","1,898,904","1,888,377","2,585,288","395,300","1,545,335","644,653"
2014,"4,355,214","635,496","1,892,099","1,827,619","2,621,075","411,405","1,571,821","637,848"
 ,Children under age 18,,,,,,,
1940,"54,648","6,410","48,238",. . .,668,62,606,. . .
1950,"699,703","46,241","653,462",. . .,"19,366",788,"18,578",. . .
1960,"1,896,397","214,343","1,529,535","152,519","88,682","5,654","78,446","4,582"
1965,"2,688,592","339,507","1,816,888","532,197","135,432","9,598","109,392","16,442"
1970,"3,314,578","354,373","2,161,094","799,111","215,366","13,367","172,499","29,500"
1980,"3,423,081","354,797","1,883,438","1,184,846","607,574","40,548","443,097","123,930"
1990,"2,497,252","236,051","1,333,690","927,511","739,787","53,944","538,546","147,296"
1995,"2,956,482","241,756","1,386,111","1,328,615","943,028","69,312","637,326","236,390"
2000,"2,976,406","255,908","1,346,091","1,374,407","1,120,977","92,987","724,567","303,423"
2001,"2,993,852","262,509","1,345,986","1,385,357","1,172,169","100,320","752,216","319,633"
2002,"3,043,029","270,231","1,350,533","1,422,265","1,218,610","107,298","773,661","337,652"
2003,"3,080,308","273,646","1,345,029","1,461,633","1,268,682","113,784","795,476","359,422"
2004,"3,104,055","277,195","1,338,920","1,487,940","1,325,370","121,320","821,844","382,206"
2005,"3,129,506","281,634","1,331,531","1,516,341","1,399,043","131,142","858,135","409,766"
2006,"3,133,398","282,281","1,320,862","1,530,255","1,455,066","138,296","886,393","430,377"
2007,"3,119,523","281,848","1,302,665","1,535,010","1,487,902","143,616","900,537","443,748"
2008,"3,118,230","285,944","1,280,182","1,552,104","1,576,703","156,733","944,058","475,912"
2009,"3,158,138","301,132","1,258,817","1,598,189","1,592,358","167,672","934,400","490,286"
2010,"3,208,791","309,512","1,239,083","1,660,196","1,609,289","174,383","925,590","509,316"
2011,"3,245,279","314,970","1,224,280","1,706,029","1,680,127","185,255","952,543","542,328"
2012,"3,258,426","321,534","1,213,164","1,723,728","1,711,882","193,294","961,500","557,088"
2013,"3,236,746","325,846","1,200,282","1,710,618","1,728,766","200,324","967,270","561,172"
2014,"3,166,362","327,665","1,188,333","1,650,364","1,734,880","205,850","976,089","552,941"
 ,Disabled adult children,,,,,,,
1957,"28,869","16,686","12,183",. . .,"1,115",526,589,. . .
1960,"104,054","53,825","47,267","2,962","4,594","1,922","2,557",115
1965,"198,390","87,122","102,287","8,981","10,271","3,541","6,357",374
1970,"270,557","101,341","154,921","14,295","19,807","5,755","13,290",761
1980,"450,169","140,548","276,738","32,883","89,561","22,463","62,625","4,473"
1990,"600,480","173,941","389,385","37,154","217,201","51,879","156,725","8,597"
1995,"686,101","188,965","446,377","50,759","300,007","68,743","217,553","13,711"
2000,"728,689","191,584","480,351","56,754","377,647","83,098","276,072","18,478"
2001,"736,546","191,809","486,817","57,920","395,952","86,510","289,757","19,684"
2002,"744,529","192,085","492,985","59,459","409,813","89,114","299,946","20,754"
2003,"752,814","191,704","498,659","62,451","426,877","92,125","312,212","22,540"
2004,"759,264","191,285","503,242","64,737","446,134","95,744","326,042","24,349"
2005,"768,535","191,979","507,961","68,595","473,620","101,440","345,113","27,067"
2006,"776,596","192,122","512,596","71,878","498,891","106,512","362,902","29,477"
2007,"794,677","196,038","521,293","77,346","524,763","112,420","379,869","32,474"
2008,"871,466","221,943","564,735","84,788","594,115","130,201","426,482","37,432"
2009,"920,883","241,042","589,575","90,266","622,827","140,072","442,872","39,882"
2010,"949,200","250,262","601,420","97,518","644,297","146,946","454,155","43,196"
2011,"977,026","259,073","612,686","105,267","689,622","159,176","482,092","48,353"
2012,"1,006,676","269,799","624,472","112,405","725,285","170,231","502,718","52,336"
2013,"1,030,166","279,053","633,891","117,222","756,839","180,455","521,073","55,311"
2014,"1,048,879","287,762","641,497","119,620","787,838","191,001","539,405","57,432"
 ,Students,,,,,,,
1965,"205,677","34,152","155,088","16,437","13,725","1,597","11,318",811
1970,"537,170","89,994","371,982","75,194","44,672","5,351","35,252","4,069"
1980,"733,267","143,366","449,744","140,157","167,107","26,375","119,368","21,363"
1990,"89,278","12,208","52,938","24,132","34,641","3,673","24,935","6,033"
1995,"91,514","10,879","51,155","29,480","40,253","3,919","27,958","8,376"
2000,"97,768","11,459","51,565","34,744","49,184","5,092","32,417","11,674"
2001,"108,983","12,746","57,353","38,884","56,164","5,897","36,912","13,356"
2002,"122,698","14,368","64,381","43,949","64,048","6,854","41,808","15,386"
2003,"127,787","14,683","66,295","46,809","68,351","7,321","44,218","16,811"
2004,"123,000","14,414","62,469","46,117","67,422","7,474","42,985","16,963"
2005,"126,774","14,812","63,985","47,977","72,845","8,196","46,080","18,570"
2006,"130,536","15,537","65,404","49,595","77,766","9,012","48,892","19,862"
2007,"136,491","16,410","67,748","52,333","83,228","9,900","51,842","21,486"
2008,"141,898","17,310","69,607","54,981","91,670","11,138","56,559","23,973"
2009,"151,557","19,277","72,756","59,524","96,585","12,493","58,575","25,517"
2010,"154,563","20,085","72,286","62,192","98,173","13,076","58,217","26,879"
2011,"153,146","20,312","70,370","62,464","100,838","13,757","59,077","28,004"
2012,"154,302","20,923","69,460","63,919","103,437","14,511","59,705","29,221"
2013,"145,708","20,440","64,731","60,537","99,683","14,521","56,992","28,170"
2014,"139,973","20,069","62,269","57,635","98,356","14,555","56,326","27,475"
,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,,,NOTES: Totals do not necessarily equal the sum of rounded components.
,,,,,,,,. . . = not applicable.
,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
