State or area,All disabled beneficiaries,,,Disabled workers,,,Disabled widow(er)s,,,Disabled adult children,,,0
,Number,Average monthly benefit (dollars),Median monthly benefit (dollars),Number,Average monthly benefit (dollars),Median monthly benefit (dollars),Number,Average monthly benefit (dollars),Median monthly benefit (dollars),Number,Average monthly benefit (dollars),Median monthly benefit (dollars),0
All areas,"10,261,268","1,111.96","1,027.90","8,954,518","1,165.39","1,073.00","257,871",724.07,676.00,"1,048,879",751.12,737.00,2
Alabama,"268,280","1,094.19","1,016.90","236,857","1,145.98","1,060.00","9,014",694.73,655.00,"22,409",707.40,680.90,0
Alaska,"14,317","1,102.33","1,004.00","12,641","1,147.96","1,041.00",297,827.16,808.90,"1,379",743.32,725.00,0
Arizona,"174,770","1,160.78","1,080.00","156,217","1,208.44","1,123.90","3,818",743.43,696.50,"14,735",763.72,757.00,0
Arkansas,"158,604","1,059.82",999.90,"140,453","1,110.11","1,042.00","4,931",653.85,618.00,"13,220",676.90,653.00,0
California,"817,777","1,140.87","1,043.90","709,509","1,196.73","1,095.00","16,955",784.30,733.00,"91,313",773.02,759.90,0
Colorado,"118,958","1,139.90","1,058.90","107,158","1,181.95","1,094.00","2,230",759.05,714.00,"9,570",757.82,753.00,0
Connecticut,"95,854","1,151.21","1,065.00","81,799","1,211.91","1,120.00","1,584",734.21,683.50,"12,471",806.06,824.00,0
Delaware,"30,993","1,186.55","1,106.00","27,404","1,238.28","1,153.00",749,737.18,693.00,"2,840",805.95,816.00,0
District of Columbia,"16,628",990.64,916.00,"14,732","1,030.99",951.00,261,711.55,667.00,"1,635",671.55,622.00,0
Florida,"626,781","1,130.52","1,049.00","560,856","1,177.19","1,089.00","14,752",694.49,642.00,"51,173",744.72,729.00,0
Georgia,"323,383","1,114.89","1,045.00","285,394","1,168.51","1,093.90","9,688",677.12,633.00,"28,301",724.01,696.00,0
Hawaii,"26,750","1,139.01","1,064.90","23,174","1,193.02","1,116.00",530,791.76,762.95,"3,046",788.48,790.50,0
Idaho,"49,567","1,089.98","1,008.00","43,820","1,136.85","1,048.00","1,037",747.57,715.00,"4,710",729.29,723.00,0
Illinois,"341,132","1,128.12","1,037.00","289,730","1,187.85","1,088.00","8,170",748.93,702.95,"43,232",799.43,802.00,0
Indiana,"239,366","1,122.61","1,047.00","208,645","1,173.60","1,089.90","6,484",737.06,689.00,"24,237",786.78,792.00,0
Iowa,"91,864","1,052.68",985.00,"78,016","1,108.99","1,033.00","1,880",695.27,655.50,"11,968",741.72,747.00,0
Kansas,"86,350","1,088.29","1,015.00","75,123","1,139.74","1,058.00","2,132",704.63,660.00,"9,095",753.23,747.00,0
Kentucky,"237,485","1,085.04","1,001.90","208,016","1,138.46","1,048.00","8,405",742.85,696.00,"21,064",694.07,666.00,0
