State or area,"Total, all ages",17 or under,18–54,55–61,62–64,65–69,70–74,75–79,80–84,85–89,90–99,100 or older,0
All areas,"59,007,158","3,166,375","5,056,571","3,555,623","5,144,501","13,087,835","10,622,827","7,462,009","5,316,455","3,485,915","2,048,835","60,212",2
Alabama,"1,095,925","78,939","130,043","94,475","106,087","226,404","175,339","124,264","84,324","49,671","25,582",797,0
Alaska,"89,047","7,396","7,564","4,850","8,236","22,478","17,368","9,976","6,089","3,355","1,684",51,0
Arizona,"1,207,102","60,708","84,749","61,326","108,342","283,947","235,245","161,104","108,362","65,946","36,478",895,0
Arkansas,"673,193","48,706","79,540","54,058","60,719","137,531","111,284","78,437","53,490","31,631","17,246",551,0
California,"5,538,810","262,667","388,370","289,575","471,476","1,277,898","1,043,066","725,543","516,546","342,622","214,731","6,316",0
Colorado,"794,937","39,012","58,697","41,492","67,599","193,404","151,822","100,396","70,173","44,804","26,787",751,0
Connecticut,"654,533","28,579","49,011","31,501","42,932","141,081","123,183","85,889","67,618","50,040","33,562","1,137",0
Delaware,"192,187","8,905","14,687","11,021","16,914","44,895","37,080","24,841","17,373","10,251","6,047",173,0
District of Columbia,"79,716","4,159","8,293","5,739","5,591","15,474","14,596","10,029","7,145","4,973","3,544",173,0
Florida,"4,223,274","194,157","295,593","227,636","360,019","938,288","800,928","575,772","408,982","266,869","150,887","4,143",0
Georgia,"1,676,778","110,101","157,387","116,044","169,168","390,790","295,643","194,271","126,902","74,492","40,724","1,256",0
Hawaii,"251,591","11,291","13,442","9,124","20,612","59,577","48,209","32,272","25,181","19,101","12,411",371,0
Idaho,"306,264","16,562","25,388","16,516","28,949","71,304","57,290","38,947","25,833","15,942","9,291",242,0
Illinois,"2,155,290","105,915","170,036","118,049","181,231","470,091","391,471","282,341","205,368","141,236","86,835","2,717",0
Indiana,"1,286,099","73,404","119,965","83,893","119,620","280,243","221,509","156,993","111,733","74,566","42,999","1,174",0
Iowa,"616,301","25,370","46,715","30,564","51,283","133,104","108,620","83,450","63,603","44,527","28,151",914,0
Kansas,"521,955","27,805","43,750","29,589","41,667","112,863","91,275","66,881","51,079","34,757","21,609",680,0
Kentucky,"954,284","65,484","116,032","82,976","92,877","197,775","151,118","106,452","72,516","44,361","24,040",653,0
Louisiana,"854,211","63,889","94,904","64,842","76,700","178,598","140,138","99,502","69,487","43,035","22,482",634,0
Maine,"325,496","16,884","35,870","20,999","26,574","70,654","56,130","39,483","28,717","18,945","10,966",274,0
Maryland,"936,372","48,619","73,664","50,567","72,090","211,173","178,787","121,307","86,022","57,814","35,260","1,069",0
Massachusetts,"1,224,469","65,261","128,386","72,762","76,494","250,330","216,777","151,645","118,763","86,590","55,784","1,677",0
Michigan,"2,121,776","118,171","199,997","144,135","215,199","457,729","357,636","249,297","180,640","124,701","72,351","1,920",0
Minnesota,"965,018","42,019","76,460","47,161","80,963","215,653","177,167","126,916","92,749","63,869","40,805","1,256",0
Mississippi,"640,772","50,699","74,260","54,802","63,351","132,405","99,811","72,158","48,206","29,229","15,302",549,0
Missouri,"1,246,269","72,053","124,785","88,589","110,287","259,987","214,602","152,779","110,409","70,481","41,079","1,218",0
Montana,"212,535","9,950","15,121","11,077","20,451","50,542","40,108","27,338","18,500","12,071","7,159",218,0
Nebraska,"326,078","15,005","24,978","15,970","23,780","70,655","58,844","44,334","34,407","23,370","14,322",413,0
Nevada,"475,811","24,351","33,147","25,495","44,458","118,763","96,245","62,772","38,317","21,480","10,562",221,0
New Hampshire,"283,983","16,503","30,444","16,154","20,947","63,586","50,910","33,945","24,824","16,536","9,844",290,0
New Jersey,"1,568,016","74,926","115,859","80,801","115,879","346,452","290,787","206,465","157,199","110,424","67,158","2,066",0
New Mexico,"399,987","24,995","36,591","24,404","37,104","91,078","71,480","49,355","33,641","20,050","11,003",286,0
New York,"3,482,978","173,370","299,499","200,549","282,215","753,814","618,520","444,914","331,777","231,087","142,223","5,010",0
North Carolina,"1,948,531","105,928","177,315","133,434","190,705","444,635","344,983","234,729","160,997","99,330","54,938","1,537",0
North Dakota,"124,372","5,146","8,454","5,413","9,659","27,123","21,973","17,034","13,628","9,669","6,052",221,0
Ohio,"2,267,508","114,741","207,484","143,532","196,646","487,082","388,474","287,659","211,023","145,024","83,634","2,209",0
Oklahoma,"749,794","47,992","71,515","51,356","64,893","160,275","132,377","94,269","65,748","39,551","21,238",580,0
Oregon,"798,156","31,736","58,409","43,597","76,984","193,007","150,913","99,332","68,192","46,034","29,133",819,0
Pennsylvania,"2,722,892","129,744","235,266","161,189","228,474","578,881","470,732","345,626","266,721","191,106","112,119","3,034",0
Rhode Island,"216,029","11,151","21,433","14,134","15,962","44,728","36,473","25,490","20,240","15,803","10,316",299,0
South Carolina,"1,040,971","59,715","94,472","74,001","104,718","242,131","187,433","123,229","80,913","47,329","26,313",717,0
South Dakota,"165,499","7,291","11,400","7,384","13,477","37,465","30,426","22,068","16,824","11,529","7,355",280,0
Tennessee,"1,371,562","84,217","140,084","100,317","130,956","303,737","238,538","163,007","109,551","65,186","34,967","1,002",0
Texas,"3,842,249","248,169","332,850","225,996","333,529","875,981","705,227","478,934","329,775","199,411","109,351","3,026",0
Utah,"365,730","24,838","30,554","17,531","28,668","82,047","69,091","48,080","33,485","20,658","10,555",223,0
