State or area,Number,Percentage distribution by dollar amount of benefit,,,,,,,,,,,Monthly benefit (dollars),,0
,,Total,Less than 600.00,600.00–699.90,700.00–799.90,800.00–899.90,900.00–999.90,"1,000.00–1,099.90","1,100.00–1,199.90","1,200.00–1,299.90","1,300.00–1,399.90","1,400.00 or more",Average,Median,0
All areas,"39,008,771",100.0,8.5,4.4,5.8,6.4,6.0,5.8,5.8,6.0,6.4,44.9,"1,328.58","1,320.90",2
Alabama,"631,443",100.0,6.8,4.4,6.2,7.0,6.8,6.7,6.8,6.9,6.9,41.5,"1,303.95","1,276.00",0
Alaska,"59,221",100.0,14.0,5.5,6.4,6.5,6.1,5.6,5.5,5.4,5.0,40.2,"1,264.51","1,211.00",0
Arizona,"849,142",100.0,6.9,4.0,5.5,6.3,6.0,5.7,5.8,6.0,6.5,47.3,"1,355.76","1,360.90",0
Arkansas,"399,334",100.0,6.9,4.9,6.6,7.4,7.4,7.5,7.5,7.5,7.1,37.3,"1,262.22","1,225.90",0
California,"3,804,073",100.0,12.4,5.2,6.0,6.1,5.7,5.3,5.2,5.2,5.4,43.5,"1,306.99","1,277.90",0
Colorado,"552,118",100.0,10.7,4.2,5.5,6.1,5.9,5.6,5.6,5.6,5.9,44.9,"1,320.45","1,312.90",0
Connecticut,"469,331",100.0,5.8,2.9,4.4,5.1,5.1,5.0,5.2,5.7,6.2,54.5,"1,460.62","1,463.90",0
Delaware,"134,871",100.0,4.7,3.0,4.7,5.6,5.5,5.3,5.6,6.2,6.8,52.7,"1,423.97","1,434.90",0
District of Columbia,"52,477",100.0,19.9,5.8,6.1,6.2,5.7,5.6,4.9,4.8,4.4,36.5,"1,235.01","1,115.00",0
Florida,"2,977,966",100.0,7.8,4.6,6.1,6.6,6.3,6.0,6.0,6.1,6.4,44.1,"1,321.13","1,307.90",0
Georgia,"1,079,189",100.0,7.8,4.4,5.9,6.8,6.7,6.5,6.4,6.4,6.4,42.5,"1,310.58","1,283.00",0
Hawaii,"189,864",100.0,9.8,4.6,5.6,5.9,5.6,5.7,6.1,6.3,6.7,43.6,"1,314.93","1,305.00",0
Idaho,"208,370",100.0,7.0,4.8,6.5,7.0,6.5,6.3,6.5,6.7,6.9,41.8,"1,293.65","1,280.90",0
Illinois,"1,463,959",100.0,8.7,3.8,5.4,6.0,5.5,5.2,5.2,5.6,6.1,48.5,"1,361.26","1,377.90",0
Indiana,"837,039",100.0,4.2,3.3,5.3,6.3,5.7,5.4,5.7,6.3,7.1,50.6,"1,391.19","1,408.00",0
Iowa,"431,181",100.0,4.9,4.2,6.1,6.6,6.2,6.1,6.5,7.1,7.8,44.5,"1,329.06","1,331.90",0
Kansas,"353,737",100.0,5.2,3.8,5.5,6.1,6.0,6.0,6.3,6.8,7.2,47.0,"1,367.45","1,360.90",0
Kentucky,"536,540",100.0,8.5,4.9,6.6,7.1,6.7,6.5,6.4,6.6,6.8,40.0,"1,268.29","1,251.90",0
Louisiana,"471,272",100.0,13.1,5.7,6.6,6.8,6.3,5.9,5.6,5.5,5.7,38.9,"1,242.46","1,201.90",0
Maine,"209,810",100.0,10.7,5.2,6.6,7.2,6.7,6.7,6.7,6.6,6.6,37.1,"1,236.37","1,203.90",0
