Age,Total,,Men,,Women,
,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars
 ,Retired workers,,,,,
Total ,"2,771,933","1,363.30","1,432,653","1,542.82","1,339,280","1,171.26"
62–64,"1,380,803","1,104.34","667,382","1,248.14","713,421",969.82
62,"1,026,605","1,057.88","494,339","1,194.62","532,266",930.88
63,"176,549","1,198.36","87,575","1,345.84","88,974","1,053.20"
64,"177,649","1,279.39","85,468","1,457.57","92,181","1,114.18"
65–69,"1,317,140","1,601.17","735,784","1,782.67","581,356","1,371.44"
65,"285,312","1,505.58","147,436","1,683.57","137,876","1,315.26"
66,"937,154","1,599.35","535,790","1,775.97","401,364","1,363.58"
Disability conversions,"450,619","1,382.51","242,560","1,546.40","208,059","1,191.43"
New entitlements,"486,535","1,800.19","293,230","1,965.87","193,305","1,548.86"
67,"49,738","1,866.02","28,941","2,064.00","20,797","1,590.51"
68,"24,026","1,908.60","13,137","2,154.40","10,889","1,612.05"
69,"20,910","2,003.45","10,480","2,276.72","10,430","1,728.87"
70–74,"69,203","2,041.70","27,346","2,345.72","41,857","1,843.08"
75 or older,"4,787",803.63,"2,141",713.10,"2,646",876.89
 ,Disabled workers,,,,,
Total,"778,796","1,256.64","412,855","1,396.35","365,941","1,099.02"
Under 25,"21,219",627.19,"12,483",631.34,"8,736",621.27
25–29,"23,212",874.54,"12,438",900.27,"10,774",844.84
30–34,"31,030","1,003.31","15,569","1,045.35","15,461",960.97
35–39,"38,223","1,087.23","18,465","1,155.75","19,758","1,023.20"
40–44,"55,918","1,149.27","27,353","1,250.59","28,565","1,052.24"
45–49,"78,936","1,201.47","38,996","1,325.57","39,940","1,080.30"
50–54,"154,584","1,244.18","78,517","1,393.32","76,067","1,090.22"
50,"36,611","1,188.73","18,358","1,332.86","18,253","1,043.77"
51,"27,968","1,238.68","14,224","1,380.68","13,744","1,091.72"
52,"28,941","1,250.82","14,643","1,398.22","14,298","1,099.85"
53,"29,724","1,269.54","15,238","1,422.33","14,486","1,108.81"
54,"31,340","1,283.66","16,054","1,441.65","15,286","1,117.73"
55–59,"221,399","1,345.61","119,826","1,510.56","101,573","1,151.03"
55,"53,222","1,290.95","28,532","1,448.23","24,690","1,109.21"
56,"40,899","1,334.69","21,917","1,495.86","18,982","1,148.59"
57,"42,478","1,352.80","22,867","1,523.09","19,611","1,154.24"
58,"42,475","1,373.98","23,120","1,540.39","19,355","1,175.20"
59,"42,325","1,389.21","23,390","1,558.61","18,935","1,179.95"
60–65,"154,275","1,445.58","89,208","1,608.51","65,067","1,222.20"
60,"43,760","1,421.65","24,827","1,584.72","18,933","1,207.82"
61,"37,192","1,444.17","21,332","1,606.59","15,860","1,225.71"
62,"29,969","1,472.84","17,415","1,642.68","12,554","1,237.24"
63,"21,652","1,445.01","12,655","1,608.39","8,997","1,215.20"
64,"14,837","1,462.15","8,803","1,619.64","6,034","1,232.39"
65,"6,865","1,452.83","4,176","1,594.29","2,689","1,233.13"
,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,"NOTES: Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary."
,,,,,,"Effective 2006, age is based on date of entitlement and not date of award. Entitlement can be retroactive and thus precede the date of award."
,,,,,,a. Benefits awarded before the December cost-of-living increase are converted to the December rates before averages are computed.
,,,,,,b. Includes conversions from nondisabled widow(er)'s benefits to higher retired-worker benefits.
,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
