Year of award action a,Number (thousands),Average age,Percentage distribution by age b,"Total, all ages",62,63,64,65 to FRA c,FRA d,FRA to 69 g,70–74,75 or older,Total,Newly entitled e,Disability conversions f
,Men,,,,,,,,,,,,,,
1940,117,68.1,100.0,. . .,. . .,. . .,. . .,17.1,17.1,. . .,58.8,16.5,7.6,,
1945,166,69.6,100.0,. . .,. . .,. . .,. . .,15.9,15.9,. . .,43.3,28.1,12.7,,
1950,444,68.7,100.0,. . .,. . .,. . .,. . .,21.9,21.9,. . .,47.3,21.0,9.8,,
1955,629,68.4,100.0,. . .,. . .,. . .,. . .,29.4,29.4,. . .,38.0,24.7,7.8,,
1960,630,66.8,100.0,. . .,. . .,. . .,. . .,48.1,42.3,5.8,36.6,13.2,2.1,,
1965,743,65.7,100.0,15.6,10.0,6.0,. . .,31.6,25.8,5.8,25.9,7.7,3.2,,
1970,814,64.4,100.0,19.0,12.8,8.5,. . .,48.7,39.6,9.1,9.3,1.3,0.4,,
1975,902,64.0,100.0,25.8,14.1,9.0,. . .,43.6,32.0,11.6,6.5,0.7,0.2,,
1980,942,63.9,100.0,30.1,13.1,8.5,. . .,42.4,31.8,10.6,5.2,0.6,0.1,,
1985,986,63.7,100.0,45.5,8.2,11.6,. . .,31.2,18.2,13.1,2.9,0.5,0.2,,
1986,1011,63.7,100.0,47.0,8.2,11.8,. . .,29.2,17.2,12.0,3.1,0.6,0.1,,
1987,970,63.6,100.0,47.6,8.1,11.4,. . .,28.8,16.8,12.0,3.4,0.6,0.1,,
1988,944,63.7,100.0,48.2,8.1,9.9,. . .,28.6,16.6,12.0,4.1,0.9,0.2,,
1989,983,63.7,100.0,48.0,7.1,9.3,. . .,30.1,17.5,12.6,4.6,0.7,0.2,,
1990,964,63.7,100.0,47.2,7.6,11.3,. . .,27.6,16.4,11.1,5.1,1.0,0.2,,
1991,996,63.7,100.0,46.8,8.1,10.9,. . .,27.9,17.2,10.7,5.1,0.9,0.2,,
1992,989,63.7,100.0,48.2,7.3,11.4,. . .,27.2,16.6,10.6,5.0,0.8,0.1,,
1993,980,63.7,100.0,48.7,8.0,11.0,. . .,26.7,16.1,10.5,4.5,0.9,0.2,,
1994,923,63.6,100.0,49.0,7.4,11.4,. . .,27.1,15.7,11.5,4.0,1.0,0.1,,
1995,916,63.7,100.0,49.3,7.3,10.5,. . .,27.5,15.8,11.8,4.0,1.1,0.3,,
1996,895,63.6,100.0,49.9,7.1,9.7,. . .,27.6,14.9,12.6,4.5,1.1,0.1,,
1997 h,904,63.7,100.0,50.5,6.6,9.7,. . .,26.9,14.9,12.0,4.7,1.3,0.2,,
1998,909,63.8,100.0,49.6,7.1,9.9,. . .,27.3,14.7,12.6,4.6,1.3,0.2,,
1999,940,63.7,100.0,49.3,7.3,9.8,. . .,27.4,14.8,12.6,4.7,1.3,0.2,,
2000,1115,64.1,100.0,41.6,6.1,9.4,. . .,31.7,20.3,11.4,9.9,1.1,0.2,,
2001,992,63.7,100.0,46.8,6.7,12.1,. . .,30.8,18.1,12.7,2.8,0.7,0.2,,
2002,1001,63.7,100.0,46.4,7.1,13.8,. . .,29.7,17.1,12.6,2.1,0.7,0.2,,
2003,969,63.6,100.0,49.5,6.9,13.2,3.7,23.3,11.7,11.6,2.7,0.5,0.1,,
2004,1010,63.6,100.0,50.3,7.1,11.1,5.2,22.9,11.6,11.3,2.7,0.5,0.1,,
2005,1061,63.6,100.0,50.2,7.2,9.6,7.2,22.4,11.2,11.2,2.7,0.5,0.2,,
2006,1057,63.8,100.0,45.6,7.7,9.2,9.7,23.9,11.8,12.1,3.1,0.7,0.2,,
2007,1075,64.0,100.0,42.4,7.4,9.3,12.1,24.6,12.0,12.1,3.2,0.7,0.2,,
2008,1200,64.0,100.0,42.5,7.0,8.4,13.4,24.7,12.4,12.3,3.2,0.6,0.2,,
2009,1452,64.0,100.0,44.3,7.2,7.4,11.7,25.3,12.7,12.6,3.4,0.6,0.1,,
2010,1387,64.1,100.0,42.6,8.3,6.9,10.6,26.6,13.5,13.0,4.1,0.7,0.2,,
2011,1340,64.0,100.0,41.4,7.2,7.5,10.3,27.8,14.3,13.6,4.7,0.9,0.2,,
2012,1419,64.2,100.0,37.2,6.5,6.7,11.5,31.5,16.2,15.3,5.2,1.2,0.2,,
2013,1447,64.3,100.0,34.8,6.0,6.1,10.8,34.7,17.8,16.9,5.8,1.6,0.2,,
2014,1433,64.4,100.0,34.5,6.1,6.0,10.3,33.9,17.0,16.9,7.1,1.9,0.1,,
,Women,,,,,,,,,,,,,,
1940,15,67.4,100.0,. . .,. . .,. . .,. . .,20.8,20.8,. . .,62.3,12.5,4.3,,
1945,20,68.5,100.0,. . .,. . .,. . .,. . .,24.0,24.0,. . .,45.0,23.6,7.3,,
1950,123,68.0,100.0,. . .,. . .,. . .,. . .,22.3,22.3,. . .,53.6,19.6,4.4,,
1955,281,67.8,100.0,. . .,. . .,. . .,. . .,36.6,36.6,. . .,38.7,18.1,6.6,,
1960,351,65.2,100.0,27.1,13.3,8.1,. . .,18.4,17.4,1.0,22.2,8.2,2.7,,
1965,440,65.3,100.0,32.6,12.1,6.0,. . .,19.9,16.9,3.0,17.4,6.7,5.4,,
1970,524,63.9,100.0,35.8,14.3,7.2,. . .,31.3,25.7,5.5,9.2,1.7,0.6,,
1975,603,63.7,100.0,41.6,13.7,7.0,. . .,29.3,22.0,7.3,6.8,1.2,0.4,,
1980,671,63.5,100.0,45.9,11.5,6.5,. . .,29.9,22.1,7.7,5.0,0.9,0.2,,
1985,697,63.4,100.0,57.9,7.4,9.8,. . .,21.3,12.2,9.1,2.6,0.8,0.2,,
1986,713,63.4,100.0,57.5,7.0,10.4,. . .,21.6,12.6,8.9,2.5,0.9,0.2,,
1987,681,63.3,100.0,58.9,7.2,9.6,. . .,20.8,11.8,9.0,2.6,0.7,0.2,,
1988,667,63.3,100.0,59.4,6.9,7.9,. . .,21.8,12.8,9.0,3.1,0.7,0.2,,
1989,674,63.4,100.0,57.9,6.5,9.4,. . .,21.6,12.8,8.8,3.3,1.0,0.3,,
1990,679,63.5,100.0,55.9,7.2,9.8,. . .,21.5,12.7,8.9,4.1,1.0,0.5,,
1991,685,63.5,100.0,56.1,7.1,9.5,. . .,22.3,13.9,8.4,3.8,0.9,0.3,,
1992,708,63.5,100.0,56.7,6.9,9.8,. . .,21.5,12.5,9.0,3.7,1.1,0.3,,
1993,704,63.5,100.0,56.0,6.8,10.2,. . .,22.4,13.6,8.8,3.1,1.1,0.3,,
1994,690,63.4,100.0,57.6,6.7,10.2,. . .,21.0,11.8,9.1,3.3,1.0,0.3,,
1995,684,63.5,100.0,55.4,6.6,10.1,. . .,22.6,12.8,9.7,3.5,1.4,0.4,,
1996,684,63.4,100.0,57.4,5.9,9.4,. . .,22.7,12.5,10.2,3.4,1.0,0.3,,
1997 h,809,65.4,100.0,48.2,5.5,7.5,. . .,19.5,10.5,8.9,4.4,6.4,8.5,,
