Year,Total,Wives with entitlement based on—,,Husbands
,,Care of children,Age,
 ,Wives and husbands of retired workers,,,
1950,"162,768","9,646","152,310",812
1955,"288,915","21,692","263,816","3,407"
1960,"339,987","32,254","305,713","2,020"
1965,"321,015","44,087","275,717","1,211"
1970,"339,447","51,378","286,867","1,202"
1975,"350,558","60,184","289,600",774
1980,"360,693","55,401","294,892","10,400"
1981,"338,540","50,993","277,641","9,906"
1982,"349,967","36,229","302,739","10,999"
1983,"356,274","35,309","308,922","12,043"
1984,"342,691","30,972","298,855","12,864"
1985,"356,558","30,454","312,849","13,255"
1986,"358,115","28,925","315,427","13,763"
1987,"333,333","26,099","294,499","12,735"
1988,"316,929","23,045","281,760","12,124"
1989,"310,498","21,285","278,655","10,558"
1990,"308,980","21,395","277,238","10,347"
1991,"307,000","21,154","276,236","9,610"
1992,"304,764","21,057","274,670","9,037"
1993,"290,728","19,945","262,240","8,543"
1994,"275,025","18,431","248,430","8,164"
1995,"258,740","17,214","233,731","7,795"
1996,"244,014","15,466","221,059","7,489"
1997,"268,012","14,040","246,229","7,743"
1998,"263,668","13,472","242,390","7,806"
1999,"275,568","13,521","253,559","8,488"
2000,"341,503","15,625","315,148","10,730"
2001,"314,547","13,743","289,757","11,047"
2002,"317,685","14,011","291,377","12,297"
2003,"305,831","12,832","280,883","12,116"
2004,"319,430","12,219","294,133","13,078"
2005,"329,225","11,630","303,976","13,619"
2006,"328,430","11,160","301,614","15,656"
2007,"316,782","10,471","291,985","14,326"
2008,"344,003","11,283","316,119","16,601"
2009,"375,123","12,530","343,296","19,297"
2010,"354,947","11,710","321,826","21,411"
2011,"345,821","10,736","311,826","23,259"
2012,"369,410","9,202","332,495","27,713"
2013,"373,933","8,775","332,529","32,629"
2014,"385,394","8,221","338,500","38,673"
 ,Wives and husbands of disabled workers,,,
1958 ,"12,920","7,869","5,035",16
1959 ,"54,299","32,844","21,301",154
1960,"54,187","38,326","15,756",105
1965,"69,183","55,230","13,813",140
1970,"96,304","74,913","21,227",164
1975,"148,741","116,624","31,942",175
1980,"108,500","74,922","32,616",962
1981,"95,575","64,333","30,360",882
1982,"77,835","45,463","31,540",832
1983,"80,079","43,820","35,369",890
1984,"81,834","46,433","34,470",931
1985,"83,511","48,522","34,101",888
1986,"82,435","47,711","33,797",927
1987,"77,316","43,881","31,652","1,783"
1988,"73,790","41,627","29,634","2,529"
1989,"69,113","39,212","27,750","2,151"
1990,"69,667","40,458","27,023","2,186"
1991,"72,754","43,543","26,747","2,464"
1992,"78,083","47,841","27,502","2,740"
1993,"74,605","45,602","26,276","2,727"
1994,"69,549","42,824","24,240","2,485"
1995,"63,097","37,972","22,833","2,292"
1996,"57,528","33,638","21,775","2,115"
1997,"50,818","25,779","23,329","1,710"
1998,"47,550","23,190","22,693","1,667"
1999,"46,164","21,949","22,557","1,658"
2000,"43,941","19,801","22,399","1,741"
2001,"43,412","19,535","21,979","1,898"
2002,"45,600","20,621","22,863","2,116"
2003,"47,183","20,580","24,269","2,334"
2004,"48,016","19,423","26,070","2,523"
2005,"50,187","18,877","28,679","2,631"
2006,"49,521","16,837","30,270","2,414"
2007,"47,583","15,529","29,539","2,515"
2008,"50,756","15,899","32,033","2,824"
2009,"54,112","16,963","33,980","3,169"
2010,"53,987","17,445","32,960","3,582"
2011,"53,276","15,754","33,769","3,753"
2012,"50,165","13,625","32,689","3,851"
2013,"46,183","11,759","30,748","3,676"
2014,"42,609","9,491","29,451","3,667"
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,
NOTES: Benefits not necessarily payable at time of award.,,,,
"Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",,,,
a. January–November.,,,,
b. Includes December 1958.,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,
