Year,All children,Children of—,,,0
,,Retired workers,Deceased workers,Disabled workers,0
 ,Total,,,,0
1957,"313,163","81,842","231,321",. . .,0
1960,"415,719","69,979","241,430","104,310",0
1965,"783,202","134,187","451,399","197,616",0
1970,"1,090,865","182,595","591,724","316,546",0
1975,"1,331,913","225,579","591,118","515,216",0
1976,"1,327,197","236,805","578,905","511,487",0
1977,"1,365,513","259,447","587,589","518,477",0
1978,"1,234,658","214,284","566,992","453,382",0
1979,"1,191,521","247,800","544,549","399,172",0
1980,"1,174,112","248,658","540,246","385,208",0
1981,"1,086,547","211,406","535,487","339,654",0
1982,"916,715","182,849","473,396","260,470",0
1983,"752,839","144,945","380,992","226,895",0
1984,"721,564","131,986","351,326","238,252",0
1985,"713,632","128,076","332,531","253,025",0
1986,"700,627","122,652","319,800","258,167",0
1987,"685,299","117,984","310,573","256,742",0
1988,"706,031","116,659","324,346","265,026",0
1989,"675,362","106,491","307,484","261,387",0
1990,"695,307","108,105","303,616","283,586",0
1991,"726,908","107,261","301,459","318,188",0
1992,"794,571","108,686","304,300","381,585",0
1993,"816,454","106,566","311,290","398,598",0
1994,"824,239","102,983","310,051","411,205",0
1995,"808,578","101,239","306,044","401,295",0
1996,"798,485","98,655","302,480","397,350",0
1997,"757,346","97,594","297,204","362,548",0
1998,"763,170","96,893","294,851","371,426",0
1999,"773,166","99,826","295,196","378,144",0
2000,"776,676","115,358","297,686","363,632",0
2001,"796,174","110,680","302,445","383,049",0
2002,"846,361","116,186","310,395","419,780",0
2003,"852,354","111,992","305,409","434,953",0
2004,"858,562","115,391","309,472","433,699",0
2005,"907,547","123,494","314,786","469,267",0
2006,"897,035","126,860","321,155","449,020",0
2007,"902,296","126,678","322,326","453,292",0
2008,"960,873","140,581","329,397","490,895",0
2009,"1,007,671","156,412","319,127","532,132",0
2010,"1,044,506","155,193","320,293","569,020",0
2011,"1,016,510","152,427","310,926","553,157",0
2012,"959,019","142,114","304,199","512,706",0
2013,"876,835","136,934","288,474","451,427",0
2014,"810,075","134,070","282,492","393,513",0
 ,Children under age 18,,,,0
1940,"59,382","8,249","51,133",. . .,0
1945,"127,514","7,215","120,299",. . .,0
1950,"122,641","25,495","97,146",. . .,0
1955,"238,795","40,402","198,393",. . .,0
1960,"391,366","57,239","231,611","102,516",0
1965,"523,453","84,707","263,637","175,109",0
1970,"678,940","99,353","337,960","241,627",0
1975,"806,770","115,347","300,139","391,284",0
