Year,"Total, all benefits ",Retired workers,Disabled workers,Wives and husbands,Children,,,,Widowed mothers and fathers,Widow(er)s,Parents
,,,,,Total,Under age 18,Disabled adult children,Students,,,
Total,"178,261,691","65,295,515","21,443,197","20,147,151","48,272,771","30,548,675","1,194,142","16,529,954","4,952,882","16,807,993","109,398"
1940–1944,"246,534","84,737",. . .,"40,811","73,394","73,394",. . .,. . .,"40,868","5,680","1,044"
1945–1949,"896,041","304,902",. . .,"154,261","250,835","250,835",. . .,. . .,"145,998","36,144","3,901"
1950,"266,615","98,280",. . .,"51,200","69,062","69,062",. . .,. . .,"33,313","13,642","1,118"
1951,"354,282","141,665",. . .,"73,706","82,516","82,516",. . .,. . .,"37,016","17,999","1,380"
1952,"383,780","160,284",. . .,"85,349","75,352","75,352",. . .,. . .,"40,085","20,978","1,732"
1953,"455,652","193,688",. . .,"99,409","89,292","89,292",. . .,. . .,"44,331","27,006","1,926"
1954,"501,694","212,894",. . .,"111,788","99,375","99,375",. . .,. . .,"45,870","29,871","1,896"
1955,"579,229","247,998",. . .,"125,880","117,443","117,443",. . .,. . .,"49,330","36,488","2,090"
1956,"624,981","269,006",. . .,"134,700","128,391","128,391",. . .,. . .,"51,874","38,849","2,161"
1957,"789,331","334,710","16,131","178,464","146,828","146,540",288,. . .,"54,715","56,022","2,461"
1958,"817,512","322,279","52,949","173,608","156,944","156,348",596,. . .,"52,088","57,422","2,222"
1959,"1,163,018","458,175","81,982","255,169","211,711","209,948","1,763",. . .,"67,346","85,401","3,234"
1960,"1,170,612","440,555","89,090","249,792","235,965","233,512","2,453",. . .,"67,555","84,396","3,259"
1961,"1,327,950","471,552","115,546","276,437","290,895","287,599","3,296",. . .,"77,778","92,322","3,420"
1962,"1,410,718","507,807","128,299","282,569","311,045","307,200","3,845",. . .,"78,261","99,332","3,405"
1963,"1,672,045","591,951","137,850","330,576","397,764","392,606","5,158",. . .,"92,246","117,743","3,915"
1964,"1,739,693","616,124","138,576","333,969","424,680","418,834","5,846",. . .,"96,116","126,328","3,900"
1965,"1,868,804","646,734","156,648","345,229","481,215","448,344","6,628","26,243","98,058","137,031","3,889"
1966,"2,178,105","696,038","168,630","351,877","704,131","457,688","7,329","239,114","92,054","158,302","3,749"
1967,"2,545,076","748,184","208,899","373,803","820,610","503,110","9,178","308,322","102,004","172,411","3,789"
1968,"2,654,191","789,586","222,197","386,245","837,390","514,363","10,620","312,407","100,344","188,844","4,004"
1969,"2,860,287","827,151","251,269","399,689","946,481","564,725","11,922","369,834","107,119","205,188","3,525"
