Year,Total,Federal SSI,Federally administered state supplementation
,All recipients,,
1974,5096813,3833161,1263652.0
1975,5716072,4313538,1402534.0
1980,7714640,5866354,1848286.0
1985,10749938,8777341,1972597.0
1990,16132959,12893805,3239154.0
1995,27037280,23919430,3117850.0
1996,28252474,25264878,2987596.0
1997,28370568,25457387,2913181.0
1998,29408208,26404793,3003415.0
1999,30106132,26805156,3300976.0
2000,30671699,27290248,3381451.0
2001,32165856,28705503,3460353.0
2002,33718999,29898765,3820234.0
2003,34693278,30688029,4005249.0
2004,36065358,31886509,4178849.0
2005,37235843,33058056,4177787.0
2006,38888961,34736088,4152873.0
2007,41204645,36884066,4320579.0
2008,43040481,38655780,4384701.0
2009,46592308,42628709,3963606.0
2010,48194514,44605122,3589392.0
2011,49520299,45999647,3520652.0
2012,52074525,48769579,3304947.0
2013,53899898,50624771,3275127.0
2014,54693013,51574587,3118426.0
,Aged,,
1974,2414034,1782742,631292.0
1975,2516515,1842980,673535.0
1980,2617023,1860194,756829.0
1985,2896671,2202557,694114.0
1990,3559388,2521382,1038006.0
1995,4239222,3374772,864450.0
1996,4282498,3449407,833091.0
1997,4303529,3479948,823581.0
1998,4166231,3327856,838375.0
1999,4445687,3524355,921332.0
2000,4540046,3597516,942530.0
2001,4664076,3708527,955549.0
2002,4802792,3751491,1051301.0
2003,4856875,3758070,1098805.0
2004,4907225,3773901,1133324.0
2005,4964627,3836625,1128002.0
2006,5115911,3953106,1162804.0
2007,5301277,4113424,1187853.0
2008,5378921,4180786,1198135.0
2009,5569078,4499045,1070033.0
2010,5453906,4529485,924422.0
2011,5430932,4535873,895059.0
2012,5485775,4658671,827103.0
2013,5592479,4771120,821360.0
2014,5688075,4891328,796747.0
,Blind,,
1974,125791,91308,34483.0
1975,127240,92427,34813.0
1980,185827,131506,54321.0
1985,259840,195183,64657.0
1990,328949,238415,90534.0
1995,367441,298238,69203.0
1996,364791,298897,65894.0
1997,367845,302656,65189.0
1998,358187,291050,67137.0
1999,382323,309295,73028.0
2000,385926,312238,73688.0
2001,398624,323895,74729.0
2002,416454,335405,81049.0
2003,409293,325878,83415.0
2004,412810,327446,85364.0
2005,414147,330591,83556.0
2006,409287,326230,83057.0
2007,418835,336789,82046.0
2008,416017,335179,80838.0
2009,426533,354817,71716.0
2010,423215,359096,64119.0
2011,421994,360789,61205.0
2012,426507,373912,52595.0
2013,432397,381863,50534.0
2014,439849,390144,49705.0
,Disabled,,
1974,2556988,1959112,597876.0
1975,3072317,2378131,694186.0
1980,4911792,3874655,1037137.0
1985,7593427,6379601,1213826.0
1990,12244622,10134007,2110615.0
1995,22430612,20246415,2184197.0
1996,23605189,21516579,2088610.0
1997,23709831,21685421,2024410.0
1998,24883782,22785879,2097903.0
1999,25278121,22971506,2306615.0
2000,25745710,23380477,2365233.0
2001,27125707,24695630,2430077.0
2002,28531939,25844055,2687884.0
2003,29453803,26630775,2823028.0
2004,30745406,27785246,2960160.0
2005,31857069,28890840,2966229.0
2006,33363762,30456751,2907011.0
2007,35484533,32433853,3050680.0
2008,37245543,34139814,3105728.0
2009,40596703,37774847,2821857.0
2010,42317393,39716541,2600852.0
2011,43667372,41102985,2564388.0
2012,46162243,43736995,2425248.0
2013,47875022,45471788,2403234.0
2014,48565089,46293115,2271974.0
"SOURCE: Social Security Administration, Office of Financial Policy and Operations.","NOTE: Totals for ""Aged,"" ""Blind,"" and ""Disabled"" are derived. The derivation creates slight discrepancies between the sum of the group totals and the ""All recipients"" total.",CONTACT: (410) 965-0090 or statistics@ssa.gov.,
