Monthly payment (dollars),All recipients,Aged,Blind,Disabled,0
Total, ,,,,1
Number,"259,621","122,324","1,978","135,319",2
Percent,100.0,100.0,100.0,100.0,2
Less than 50,2.8,3.0,1.9,2.6,0
50–99,3.4,3.7,2.7,3.2,0
100–149,3.6,3.8,2.8,3.5,0
150–199,3.7,3.9,3.0,3.6,0
200–249,3.7,3.8,3.9,3.7,0
250–299,3.6,3.6,2.7,3.7,0
300–349,3.5,3.3,3.2,3.7,0
350–399,3.5,3.0,3.2,4.0,0
400–449,3.2,2.9,3.7,3.4,0
450–499,3.0,2.8,3.4,3.1,0
500–549,2.7,2.7,2.2,2.8,0
550–599,2.4,2.5,2.8,2.4,0
600–649,2.3,2.3,2.0,2.3,0
650–699,2.3,2.2,2.5,2.3,0
700–749,6.6,10.2,4.2,3.3,0
750–799,1.8,1.7,1.7,1.9,0
800–849,1.6,1.5,1.5,1.8,0
850–899,1.2,1.1,1.1,1.3,0
900–949,1.0,1.0,1.2,0.9,0
950–999,0.7,0.8,1.0,0.6,0
"1,000–1,049",0.7,0.9,0.8,0.5,0
"1,050–1,081",0.4,0.5,0.5,0.3,0
"1,082 ",42.2,38.9,48.0,45.0,0
"SOURCE: Social Security Administration, Supplemental Security Record, 100 percent data.",,,,,0
NOTE: Totals do not necessarily equal the sum of rounded components.,,,,,0
"a. Couples living in their own household with no countable income were eligible for a federal SSI payment of $1,082 in calendar year 2014.",,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,0
