Census division and state or area,2000,,,,2010,,,,2013,,,,0
,Persons served,Covered days of care,Program payments (thousands of dollars),Program payments per person served (dollars) ,Persons served,Covered days of care,Program payments (thousands of dollars),Program payments per person served (dollars) ,Persons served,Covered days of care,Program payments (thousands of dollars),Program payments per person served (dollars) ,0
Total,,,,,,,,,,,,,2
All areas,"534,408","25,957,716","2,925,819","5,476","1,163,037","81,654,927","12,950,475","11,175","1,319,517","92,608,159","15,100,091","11,484",3
United States,"529,745","25,646,822","2,903,200","5,482","1,151,358","80,244,133","12,810,641","11,166","1,308,130","91,357,249","14,969,333","11,484",3
New England,"20,642","799,522","104,817","5,078","52,085","3,078,644","537,146","10,338","59,631","3,535,195","631,970","10,619",0
Connecticut,"5,425","197,854","31,872","5,875","11,416","547,732","109,556","9,613","13,500","672,532","135,821","10,089",1
Maine,"1,135","49,657","4,977","4,386","5,564","333,326","52,509","9,456","6,504","368,477","58,735","9,043",1
Massachusetts,"9,906","381,853","47,884","4,834","23,516","1,468,601","251,551","10,733","26,525","1,718,629","303,248","11,455",1
New Hampshire,"1,679","77,363","8,824","5,256","4,809","287,539","46,943","9,782","5,478","322,739","55,120","10,077",1
Rhode Island,"1,758","61,325","7,978","4,538","5,225","356,516","63,315","12,134","5,622","332,754","59,651","10,622",1
Vermont,739,"31,470","3,279","4,438","1,555","84,930","13,272","8,552","2,002","120,064","19,395","9,722",1
Middle Atlantic,"63,096","2,697,689","333,959","5,293","132,722","8,262,583","1,359,530","10,277","146,307","8,784,799","1,495,960","10,255",0
New Jersey,"13,067","560,846","67,535","5,169","30,884","1,965,196","341,688","11,100","32,747","2,068,367","361,984","11,092",1
New York,"23,214","1,008,086","135,580","5,841","41,252","2,232,898","397,994","9,682","47,668","2,469,410","468,740","9,860",1
Pennsylvania,"26,815","1,128,757","130,843","4,880","60,586","4,064,489","619,848","10,262","65,892","4,247,022","665,236","10,126",1
East North Central,"93,025","4,154,816","464,650","4,996","189,675","12,185,738","1,917,277","10,142","218,005","14,382,270","2,295,471","10,564",0
Illinois,"24,067","1,071,673","121,113","5,033","42,648","2,536,817","417,839","9,831","48,177","2,949,767","494,358","10,295",1
Indiana,"9,984","484,813","51,390","5,149","23,846","1,539,234","230,087","9,693","28,195","1,788,432","274,688","9,776",1
Michigan,"22,873","1,017,365","115,791","5,063","43,979","2,708,169","420,647","9,589","50,347","3,225,810","498,476","9,933",1
Ohio,"27,228","1,159,156","132,377","4,863","56,207","3,845,723","606,275","10,827","64,149","4,562,450","733,124","11,462",1
Wisconsin,"8,873","421,809","43,977","4,959","22,995","1,555,795","242,429","10,570","27,137","1,855,811","294,825","10,911",1
West North Central,"36,720","1,748,289","176,312","4,804","85,257","5,548,987","808,443","9,510","94,674","6,114,904","924,279","9,793",0
Iowa,"6,460","298,008","30,383","4,705","16,461","1,013,650","149,409","9,109","17,250","986,838","149,721","8,700",1
Kansas,"5,550","267,095","26,068","4,708","12,631","904,768","130,738","10,393","13,330","868,711","130,035","9,794",1
Minnesota,"8,175","402,271","45,222","5,532","17,922","996,562","157,216","8,796","21,132","1,327,958","214,378","10,183",1
Missouri,"11,678","554,407","52,819","4,524","26,845","1,997,507","280,319","10,468","30,416","2,207,876","322,987","10,648",1
Nebraska,"2,982","142,942","13,829","4,638","7,011","398,330","57,620","8,237","8,023","486,430","73,280","9,161",1
North Dakota,"1,023","42,601","4,151","4,058","1,878","107,110","14,088","7,522","1,865","100,693","13,715","7,374",1
