Census division and state or area,2000,2010,2013,Services (thousands),Allowed charges (thousands of dollars),Program payments (thousands of dollars),Services (thousands).1,Allowed charges (thousands of dollars).1,Program payments (thousands of dollars).1,Services (thousands).2,Allowed charges (thousands of dollars).2,Program payments (thousands of dollars).2
Total,,,,,,,,,,,,
All areas,1247483,66911902,51456747,1857482.0,122904370.0,95036813.0,1851815.0,127854234.0,98041190.0,,,
United States,1229583,66047753,50790939,1850800.0,122520394.0,94740428.0,1846581.0,127541022.0,97801570.0,,,
New England,60701,3357803,2562793,90342.0,6068287.0,4647351.0,94481.0,6368675.0,4850340.0,,,
Connecticut,16024,908981,696770,25105.0,1762062.0,1363383.0,23566.0,1684441.0,1288953.0,,,
Maine,6725,357616,272731,8115.0,531761.0,403024.0,9243.0,569452.0,431606.0,,,
Massachusetts,26099,1464973,1117345,40600.0,2691594.0,2061972.0,43172.0,2933969.0,2234635.0,,,
New Hampshire,5018,264412,200026,7164.0,490694.0,372749.0,7575.0,564496.0,426438.0,,,
Rhode Island,4512,227420,175093,5949.0,371097.0,279266.0,6320.0,383855.0,293309.0,,,
Vermont,2323,134403,100828,3408.0,221079.0,166957.0,4604.0,232463.0,175398.0,,,
Middle Atlantic,198796,11114019,8582935,278006.0,18392020.0,14290928.0,273502.0,18947386.0,14585750.0,,,
New Jersey,46582,2706642,2098689,77068.0,5247082.0,4095126.0,77967.0,5481853.0,4238077.0,,,
New York,94073,5222652,4031686,129814.0,8334346.0,6484647.0,125956.0,8467623.0,6532068.0,,,
Pennsylvania,58141,3184725,2452560,71123.0,4810591.0,3711155.0,69578.0,4997910.0,3815605.0,,,
East North Central,202748,10835911,8301058,287975.0,19244169.0,14818771.0,281323.0,19264222.0,14690212.0,,,
Illinois,50279,2722188,2087286,84529.0,5712273.0,4407437.0,85144.0,6077442.0,4641797.0,,,
Indiana,27376,1418457,1079378,38589.0,2574392.0,1976913.0,38321.0,2653762.0,2018570.0,,,
Michigan,50326,2823614,2173760,73788.0,5111720.0,3945939.0,73099.0,4704139.0,3600270.0,,,
Ohio,50755,2722161,2085982,63723.0,4172156.0,3207844.0,59024.0,4126939.0,3141363.0,,,
Wisconsin,24012,1149491,874652,27345.0,1673628.0,1280638.0,25734.0,1701939.0,1288213.0,,,
West North Central,86209,4213384,3209083,112402.0,7191572.0,5514064.0,107926.0,7303150.0,5551725.0,,,
Iowa,15717,732727,556426,18674.0,1171379.0,892862.0,18706.0,1234985.0,936215.0,,,
Kansas,13030,671147,514252,18373.0,1191468.0,917373.0,17923.0,1230836.0,937694.0,,,
Minnesota,16548,798015,603082,17699.0,1167440.0,888449.0,16113.0,1160002.0,876938.0,,,
Missouri,25365,1300857,996024,37499.0,2423369.0,1867892.0,35990.0,2406017.0,1836784.0,,,
Nebraska,8226,388700,294564,11311.0,705570.0,540950.0,11336.0,750675.0,570532.0,,,
North Dakota,3349,149240,113542,3695.0,230791.0,175728.0,3437.0,231615.0,174853.0,,,
South Dakota,3974,172698,131194,5151.0,301554.0,230810.0,4422.0,289021.0,218709.0,,,
South Atlantic,270430,14646480,11291572,427892.0,28325952.0,21962008.0,435010.0,30334159.0,23341841.0,,,
Delaware,4302,244628,188488,7790.0,525941.0,406709.0,8437.0,627241.0,480956.0,,,
District of Columbia,2346,136917,105493,3045.0,221389.0,171953.0,3154.0,236258.0,181254.0,,,
Florida,105141,6100419,4747090,163215.0,11277264.0,8814204.0,157740.0,11628191.0,9018705.0,,,
Georgia,32915,1725056,1323041,53084.0,3430248.0,2645020.0,56031.0,3701075.0,2841106.0,,,
Maryland,22693,1316285,1014698,37456.0,2620309.0,2026685.0,40563.0,3034867.0,2328772.0,,,
North Carolina,40027,1960603,1494488,66319.0,4077609.0,3146266.0,67275.0,4347071.0,3328959.0,,,
South Carolina,21862,1117181,855190,36709.0,2322800.0,1793745.0,37755.0,2462243.0,1886161.0,,,
Virginia,30380,1517689,1159960,46816.0,3006778.0,2309542.0,50328.0,3432768.0,2618064.0,,,
West Virginia,10764,527703,403124,13458.0,843712.0,647884.0,13728.0,864446.0,657863.0,,,
East South Central,91596,4658756,3566213,139839.0,8515736.0,6571022.0,141573.0,8769405.0,6725233.0,,,
Alabama,24361,1286579,988420,36838.0,2301906.0,1776842.0,38058.0,2449573.0,1871849.0,,,
Kentucky,22036,1062201,812037,33228.0,1987997.0,1534928.0,33573.0,1979210.0,1521507.0,,,
Mississippi,14913,776595,595267,23443.0,1460566.0,1127163.0,23113.0,1494931.0,1145991.0,,,
Tennessee,30286,1533381,1170489,46330.0,2765268.0,2132088.0,46829.0,2845692.0,2185887.0,,,
West South Central,134444,6928068,5349132,215132.0,13860057.0,10739604.0,206113.0,13709654.0,10520821.0,,,
Arkansas,15708,781724,599631,22596.0,1367704.0,1052012.0,22695.0,1424177.0,1089171.0,,,
Louisiana,19622,1058214,816817,26474.0,1761717.0,1359082.0,25961.0,1734081.0,1326074.0,,,
Oklahoma,15874,845762,649096,24679.0,1567436.0,1205579.0,24489.0,1561251.0,1189477.0,,,
Texas,83240,4242368,3283588,141384.0,9163200.0,7122931.0,132969.0,8990146.0,6916099.0,,,
Mountain,53859,2986527,2286851,91082.0,6347128.0,4884471.0,97824.0,7265307.0,5553006.0,,,
Arizona,16122,897890,694194,31452.0,2147165.0,1663698.0,34980.0,2511584.0,1935215.0,,,
Colorado,10021,545066,417340,17972.0,1261635.0,973064.0,18659.0,1413182.0,1079404.0,,,
Idaho,4382,232051,176337,5830.0,376496.0,286461.0,6071.0,422179.0,319594.0,,,
Montana,3944,219874,167290,4808.0,333334.0,254196.0,4716.0,342455.0,258345.0,,,
Nevada,6605,374374,287238,12490.0,905576.0,698618.0,13804.0,1085653.0,831254.0,,,
New Mexico,5218,293417,224310,8385.0,605263.0,463282.0,8481.0,650526.0,494922.0,,,
Utah,5657,320886,241885,7412.0,524507.0,398090.0,7959.0,593122.0,447549.0,,,
Wyoming,1910,102968,78257,2734.0,193153.0,147061.0,3154.0,246605.0,186723.0,,,
Pacific,130801,7306805,5641301,208133.0,14575473.0,11312207.0,208828.0,15579063.0,11982640.0,,,
Alaska,964,60128,45822,1912.0,166074.0,126829.0,2194.0,194213.0,147599.0,,,
California,99393,5621663,4358871,159288.0,11263051.0,8777446.0,159737.0,11970502.0,9245008.0,,,
Hawaii,3642,180404,134791,4721.0,278269.0,209164.0,4395.0,280424.0,210048.0,,,
Oregon,9002,487346,371215,12797.0,895534.0,683514.0,13461.0,1012379.0,767942.0,,,
Washington,17800,957265,730602,29416.0,1972544.0,1515255.0,29040.0,2121545.0,1612043.0,,,
Outlying areas a,17900,864149,665808,6681.0,383976.0,296385.0,5234.0,313213.0,239620.0,,,
SOURCE: Centers for Medicare & Medicaid Services.,"NOTES: Allowed charges and program payments represent fee-for-service utilization only and exclude amounts paid for managed care services.
          Totals do not necessarily equal the sum of rounded components.
          Statistics are subject to sampling error.
        ",a. Includes unknown residence.,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.,,,,,,,,,
