Census division and state or area,2000,,,2010,,,2013,,,2014,,
,Total,Fee for service,Managed care,Total,Fee for service,Managed care,Total,Fee for service,Managed care,Total,Fee for service,Managed care
Total,,,,,,,,,,,,
All areas,"39,620","32,753","6,867","47,664","35,910","11,754","52,456","37,587","14,869","54,056","37,731","16,325"
United States ,"38,759","31,896","6,863","46,588","35,276","11,313","51,274","36,931","14,343","52,849","37,071","15,778"
New England,"2,120","1,714",405,"2,411","1,985",427,"2,626","2,124",502,"2,694","2,140",554
Connecticut,514,409,105,568,463,104,608,466,142,619,470,150
Maine,217,214,2,265,231,33,291,238,53,299,238,61
Massachusetts,958,721,237,"1,061",858,203,"1,158",944,214,"1,189",946,244
New Hampshire,170,167,3,223,206,18,250,234,16,259,240,19
Rhode Island,172,114,58,183,120,63,196,127,69,200,128,71
Vermont,89,89,(F),112,107,5,124,115,9,128,118,9
Middle Atlantic,"5,992","4,733","1,259","6,599","4,659","1,939","7,078","4,799","2,279","7,229","4,838","2,391"
New Jersey,"1,200","1,029",170,"1,327","1,160",167,"1,430","1,198",232,"1,462","1,235",227
New York,"2,699","2,206",494,"2,988","2,085",904,"3,211","2,120","1,091","3,278","2,100","1,178"
Pennsylvania,"2,093","1,498",595,"2,283","1,415",869,"2,437","1,481",956,"2,489","1,502",987
East North Central,"6,364","5,722",643,"7,308","5,801","1,506","7,930","5,874","2,056","8,134","5,764","2,370"
Illinois,"1,630","1,443",187,"1,839","1,662",178,"1,982","1,759",222,"2,026","1,654",372
Indiana,852,816,35,"1,006",842,164,"1,094",860,234,"1,124",871,253
Michigan,"1,401","1,320",80,"1,651","1,382",269,"1,805","1,309",496,"1,853","1,287",566
Ohio,"1,699","1,405",295,"1,901","1,271",629,"2,055","1,287",768,"2,108","1,291",817
Wisconsin,783,737,46,911,644,267,994,659,335,"1,023",661,362
West North Central,"2,857","2,576",281,"3,265","2,557",709,"3,522","2,611",911,"3,612","2,632",980
Iowa,476,459,17,517,449,68,549,471,78,561,480,81
Kansas,390,360,30,433,385,48,465,405,60,477,413,64
Minnesota,654,566,88,786,458,328,862,434,428,888,427,460
Missouri,861,727,133,"1,004",793,211,"1,086",816,270,"1,113",818,295
Nebraska,253,243,11,279,246,34,298,261,37,306,269,37
North Dakota,103,102,1,109,100,9,114,98,16,117,99,17
South Dakota,119,119,1,137,125,11,147,126,22,152,127,25
South Atlantic,"7,512","6,508","1,004","9,408","7,412","1,997","10,507","7,868","2,639","10,886","7,861","3,026"
Delaware,112,107,5,149,144,6,168,156,12,175,161,14
District of Columbia,75,68,7,78,70,8,84,75,9,87,76,10
Florida,"2,823","2,068",754,"3,375","2,359","1,016","3,757","2,404","1,353","3,900","2,422","1,478"
Georgia,918,863,56,"1,236",973,262,"1,411","1,037",374,"1,469","1,044",425
Maryland,646,574,72,785,721,64,876,800,76,905,825,80
