Calendaryear,Percentage of total expenditures,Administrative expenses (in millions),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Total,OASI,DI,Total,OASI,DI,
1957,2.2%,2.2%,5.1%,$164,$162,$3
1958,2.3%,2.2%,4.6%,207,194,12
1959,2.2%,1.8%,10.3%,234,184,50
1960,2.0%,1.8%,6.0%,240,203,36
1961,2.3%,1.9%,6.7%,303,239,64
1962,2.1%,1.8%,5.6%,322,256,66
1963,2.1%,1.9%,5.2%,348,281,68
1964,2.2%,1.9%,5.6%,375,296,79
1965,2.2%,1.9%,5.3%,418,328,90
1966,1.9%,1.3%,7.0%,393,256,137
1967,2.3%,2.0%,5.2%,515,406,109
1968,2.3%,2.0%,5.2%,603,476,127
1969,2.2%,1.9%,5.1%,612,474,138
1970,1.9%,1.6%,5.0%,635,471,164
1971,1.9%,1.5%,5.1%,719,514,205
1972,2.1%,1.7%,4.9%,907,674,233
1973,1.6%,1.4%,3.2%,837,647,190
1974,1.8%,1.6%,3.0%,1082,865,217
1975,1.7%,1.5%,2.9%,1152,896,256
1976,1.6%,1.4%,2.7%,1244,959,285
1977,1.6%,1.3%,3.3%,1379,981,399
1978,1.5%,1.3%,2.5%,1440,1115,325
1979,1.4%,1.2%,2.6%,1483,1113,371
1980,1.2%,1.1%,2.3%,1522,1154,368
1981,1.2%,1.0%,2.5%,1743,1307,436
1982,1.3%,1.1%,3.3%,2109,1519,590
1983,1.3%,1.0%,3.4%,2153,1528,625
1984,1.3%,1.0%,3.4%,2264,1638,626
1985,1.2%,0.9%,3.1%,2200,1592,608
1986,1.1%,0.9%,2.9%,2202,1601,600
1987,1.1%,0.8%,4.0%,2373,1524,849
1988,1.1%,0.9%,3.3%,2513,1776,737
1989,1.0%,0.8%,3.2%,2427,1673,754
1990,0.9%,0.7%,2.8%,2270,1563,707
1991,0.9%,0.7%,2.8%,2587,1792,794
1992,0.9%,0.7%,2.6%,2664,1830,834
1993,1.0%,0.7%,2.7%,2963,1996,966
1994,0.8%,0.6%,2.6%,2674,1645,1029
1995,0.9%,0.7%,2.5%,3141,2077,1064
1996,0.8%,0.6%,2.6%,2962,1802,1160
1997,0.9%,0.7%,2.7%,3409,2128,1280
1998,0.9%,0.6%,3.1%,3467,1899,1567
1999,0.8%,0.5%,2.9%,3328,1809,1519
2000,0.9%,0.6%,2.9%,3788,2148,1639
2001,0.8%,0.5%,2.8%,3702,1961,1741
2002,0.9%,0.5%,3.0%,4185,2137,2049
2003,1.0%,0.6%,2.7%,4562,2553,2008
2004,0.9%,0.6%,2.7%,4536,2384,2152
2005,1.0%,0.7%,2.6%,5272,2957,2315
2006,1.0%,0.7%,2.5%,5337,3010,2326
2007,0.9%,0.6%,2.5%,5542,3075,2468
2008,0.9%,0.6%,2.3%,5749,3223,2526
2009,0.9%,0.6%,2.3%,6182,3439,2743
2010,0.9%,0.6%,2.3%,6525,3543,2982
2011,0.9%,0.6%,2.2%,6405,3486,2920
2012,0.8%,0.5%,2.1%,6338,3448,2890
2013,0.7%,0.5%,1.9%,6166,3397,2769
2014,0.7%,0.4%,2.0%,6066,3133,2933
2015,0.7%,0.4%,1.9%,6169,3376,2792
