Year,Total,Under20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-66
Total,,,,,,,,,,,,
1970,75385.0,3950.0,12773.0,10045.0,7369.0,6834.0,7449.0,7830.0,7191.0,6499.0,5446.0,-
1971,77114.0,3972.0,12997.0,10726.0,7665.0,6921.0,7433.0,7801.0,7418.0,6640.0,5542.0,-
1972,78824.0,3966.0,12923.0,11475.0,8217.0,7046.0,7394.0,7844.0,7576.0,6704.0,5681.0,-
1973,81403.0,4390.0,13427.0,12062.0,8743.0,7282.0,7344.0,7858.0,7704.0,6838.0,5754.0,-
1974,84310.0,4935.0,14168.0,12801.0,9127.0,7494.0,7336.0,7804.0,7859.0,6868.0,5918.0,-
1975,86294.0,5062.0,14587.0,13502.0,9439.0,7694.0,7341.0,7788.0,7873.0,6979.0,6029.0,-
1976,87807.0,4863.0,14746.0,13970.0,10087.0,7946.0,7401.0,7737.0,7785.0,7165.0,6108.0,-
1977,89742.0,4863.0,15026.0,14213.0,10829.0,8456.0,7494.0,7647.0,7804.0,7267.0,6142.0,-
1978,94140.0,5934.0,16287.0,14787.0,11474.0,8977.0,7741.0,7578.0,7788.0,7351.0,6222.0,-
1979,97848.0,6504.0,17152.0,15541.0,12265.0,9415.0,7977.0,7568.0,7733.0,7476.0,6219.0,-
1980,100487.0,6355.0,17541.0,16295.0,13109.0,9807.0,8261.0,7581.0,7736.0,7501.0,6301.0,-
1981,102317.0,5802.0,17381.0,16931.0,13745.0,10557.0,8590.0,7693.0,7699.0,7441.0,6478.0,-
1982,103711.0,5118.0,16844.0,17356.0,14147.0,11463.0,9217.0,7850.0,7647.0,7474.0,6596.0,-
1983,104704.0,4355.0,16268.0,17667.0,14638.0,12105.0,9772.0,8143.0,7583.0,7490.0,6682.0,-
1984,106292.0,3938.0,16004.0,17850.0,15255.0,12867.0,10216.0,8370.0,7579.0,7416.0,6798.0,-
1985,108824.0,4112.0,15983.0,18097.0,15913.0,13659.0,10580.0,8644.0,7606.0,7425.0,6805.0,-
1986,111031.0,4242.0,15779.0,18274.0,16447.0,14196.0,11305.0,8953.0,7709.0,7388.0,6738.0,-
1987,113202.0,4364.0,15401.0,18421.0,16947.0,14509.0,12106.0,9532.0,7838.0,7331.0,6753.0,-
1988,115299.0,4672.0,15129.0,18420.0,17300.0,14945.0,12674.0,10064.0,8088.0,7266.0,6742.0,-
1989,117517.0,4831.0,15095.0,18371.0,17568.0,15499.0,13392.0,10505.0,8307.0,7282.0,6669.0,-
1990,119461.0,4590.0,15183.0,18160.0,17843.0,16101.0,14169.0,10835.0,8574.0,7312.0,6695.0,-
1991,120740.0,4086.0,14946.0,17792.0,18057.0,16626.0,14709.0,11559.0,8883.0,7422.0,6663.0,-
1992,121964.0,3700.0,14458.0,17338.0,18303.0,17152.0,14978.0,12391.0,9465.0,7552.0,6627.0,-
1993,123368.0,3501.0,14081.0,16885.0,18413.0,17619.0,15446.0,12996.0,10030.0,7805.0,6592.0,-
1994,125121.0,3557.0,13767.0,16572.0,18409.0,17958.0,16016.0,13736.0,10473.0,8023.0,6611.0,-
1995,127087.0,3802.0,13502.0,16545.0,18133.0,18263.0,16593.0,14494.0,10816.0,8280.0,6660.0,-
1996,129100.0,4060.0,13330.0,16572.0,17726.0,18460.0,17083.0,14991.0,11517.0,8597.0,6765.0,-
1997,131161.0,4216.0,13541.0,16452.0,17284.0,18606.0,17521.0,15194.0,12325.0,9137.0,6885.0,-
1998,133391.0,4479.0,13843.0,16289.0,16912.0,18659.0,17911.0,15615.0,12905.0,9682.0,7095.0,-
1999,135757.0,4702.0,14222.0,16039.0,16720.0,18659.0,18237.0,16161.0,13615.0,10090.0,7312.0,-
2000,138050.0,4766.0,14707.0,15650.0,16781.0,18449.0,18580.0,16748.0,14386.0,10423.0,7561.0,-
2001,140017.0,4664.0,15014.0,15394.0,16873.0,18126.0,18815.0,17272.0,14891.0,11104.0,7864.0,-
