Year,Total,Under20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75 orolder
1969,105967.0,3764.0,14034.0,12402.0,9978.0,9291.0,9786.0,10028.0,8895.0,7834.0,6666.0,5088.0,3710.0,4491.0
1970,108735.0,4149.0,14871.0,12850.0,10242.0,9290.0,9727.0,9978.0,9096.0,7960.0,6808.0,5263.0,3798.0,4703.0
1971,111246.0,4203.0,15334.0,13597.0,10674.0,9306.0,9626.0,9913.0,9284.0,8088.0,6964.0,5496.0,3842.0,4918.0
1972,113811.0,4241.0,15515.0,14488.0,11236.0,9500.0,9450.0,9913.0,9377.0,8241.0,7080.0,5707.0,3973.0,5091.0
1973,117052.0,4661.0,15997.0,15224.0,11855.0,9729.0,9314.0,9835.0,9552.0,8344.0,7209.0,5916.0,4102.0,5315.0
1974,120480.0,5185.0,16546.0,16059.0,12393.0,9948.0,9316.0,9689.0,9724.0,8430.0,7348.0,6099.0,4268.0,5473.0
1975,123951.0,5336.0,17000.0,16949.0,12839.0,10230.0,9288.0,9653.0,9680.0,8637.0,7498.0,6230.0,4577.0,6034.0
1976,126756.0,5218.0,17462.0,17463.0,13603.0,10666.0,9316.0,9557.0,9638.0,8822.0,7651.0,6384.0,4752.0,6223.0
1977,129745.0,5236.0,17864.0,17715.0,14515.0,11243.0,9517.0,9388.0,9646.0,8932.0,7794.0,6533.0,4903.0,6458.0
1978,134162.0,6198.0,18491.0,18210.0,15290.0,11891.0,9772.0,9274.0,9591.0,9111.0,7879.0,6672.0,5066.0,6715.0
1979,138117.0,6725.0,18974.0,18770.0,16156.0,12458.0,10014.0,9290.0,9472.0,9282.0,7947.0,6833.0,5217.0,6978.0
1980,141123.0,6593.0,19278.0,19289.0,17078.0,12918.0,10322.0,9254.0,9465.0,9255.0,8136.0,6958.0,5341.0,7235.0
1981,143542.0,6059.0,19365.0,19751.0,17622.0,13691.0,10762.0,9307.0,9372.0,9234.0,8303.0,7091.0,5483.0,7504.0
1982,145522.0,5391.0,19120.0,20183.0,17860.0,14611.0,11348.0,9507.0,9230.0,9236.0,8433.0,7193.0,5614.0,7797.0
1983,147010.0,4606.0,18670.0,20465.0,18299.0,15312.0,11973.0,9748.0,9130.0,9186.0,8557.0,7280.0,5737.0,8047.0
1984,149023.0,4172.0,18272.0,20712.0,18783.0,16136.0,12491.0,10011.0,9105.0,9119.0,8709.0,7265.0,5892.0,8357.0
1985,151552.0,4279.0,17875.0,20893.0,19308.0,17030.0,12910.0,10302.0,9101.0,9075.0,8716.0,7431.0,6005.0,8626.0
1986,154033.0,4395.0,17411.0,21002.0,19802.0,17559.0,13687.0,10716.0,9171.0,8986.0,8676.0,7628.0,6107.0,8892.0
1987,156414.0,4525.0,16925.0,20965.0,20282.0,17804.0,14605.0,11291.0,9346.0,8892.0,8671.0,7744.0,6176.0,9187.0
1988,159078.0,4862.0,16546.0,20970.0,20607.0,18284.0,15300.0,11913.0,9581.0,8826.0,8644.0,7818.0,6275.0,9452.0
1989,161954.0,5023.0,16458.0,20885.0,20963.0,18778.0,16140.0,12433.0,9867.0,8786.0,8600.0,7953.0,6305.0,9763.0
1990,164438.0,4794.0,16573.0,20617.0,21263.0,19335.0,17022.0,12831.0,10142.0,8808.0,8552.0,7996.0,6452.0,10053.0
1991,166308.0,4316.0,16554.0,20091.0,21483.0,19871.0,17532.0,13601.0,10530.0,8873.0,8501.0,7972.0,6645.0,10340.0
1992,167824.0,3959.0,16216.0,19523.0,21517.0,20406.0,17767.0,14496.0,11087.0,9022.0,8417.0,8013.0,6776.0,10627.0
1993,169311.0,3745.0,15783.0,19003.0,21520.0,20766.0,18261.0,15172.0,11700.0,9244.0,8349.0,7995.0,6869.0,10902.0
1994,171066.0,3763.0,15319.0,18668.0,21336.0,21117.0,18770.0,15983.0,12194.0,9523.0,8329.0,7914.0,7024.0,11127.0
1995,173259.0,3992.0,14982.0,18623.0,20963.0,21391.0,19314.0,16860.0,12589.0,9781.0,8371.0,7901.0,7057.0,11434.0
1996,175419.0,4236.0,14707.0,18632.0,20460.0,21553.0,19854.0,17361.0,13334.0,10169.0,8453.0,7863.0,7032.0,11764.0
1997,177652.0,4389.0,14773.0,18508.0,19935.0,21624.0,20383.0,17601.0,14228.0,10702.0,8607.0,7815.0,7059.0,12028.0
1998,180141.0,4652.0,15061.0,18249.0,19476.0,21684.0,20760.0,18089.0,14900.0,11306.0,8841.0,7761.0,7064.0,12297.0
1999,182690.0,4865.0,15481.0,17899.0,19215.0,21566.0,21115.0,18631.0,15677.0,11791.0,9084.0,7804.0,7004.0,12558.0
2000,185190.0,4933.0,15968.0,17474.0,19234.0,21242.0,21431.0,19187.0,16551.0,12185.0,9342.0,7844.0,7014.0,12784.0
2001,187463.0,4834.0,16400.0,17210.0,19272.0,20793.0,21628.0,19744.0,17041.0,12906.0,9715.0,7929.0,6996.0,12996.0
2002,189298.0,4426.0,16622.0,17260.0,19170.0,20259.0,21721.0,20253.0,17294.0,13785.0,10255.0,8072.0,6970.0,13212.0
2003,190946.0,3992.0,16648.0,17480.0,18891.0,19808.0,21781.0,20631.0,17760.0,14447.0,10830.0,8318.0,6929.0,13432.0
2004,192748.0,3720.0,16555.0,17819.0,18540.0,19509.0,21685.0,20956.0,18305.0,15197.0,11311.0,8547.0,6989.0,13614.0
2005,194846.0,3626.0,16473.0,18254.0,18043.0,19540.0,21325.0,21287.0,18848.0,16056.0,11713.0,8815.0,7049.0,13816.0
2006,197129.0,3671.0,16433.0,18667.0,17751.0,19543.0,20882.0,21471.0,19388.0,16515.0,12446.0,9205.0,7135.0,14020.0
2007,199478.0,3687.0,16465.0,19012.0,17748.0,19438.0,20351.0,21560.0,19877.0,16773.0,13284.0,9756.0,7295.0,14231.0
2008,201573.0,3578.0,16540.0,19263.0,17945.0,19131.0,19906.0,21611.0,20261.0,17211.0,13890.0,10315.0,7563.0,14359.0
2009,203023.0,3108.0,16337.0,19331.0,18258.0,18777.0,19563.0,21554.0,20562.0,17759.0,14628.0,10768.0,7784.0,14593.0
2010,204128.0,2478.0,15981.0,19326.0,18664.0,18229.0,19602.0,21175.0,20907.0,18272.0,15479.0,11125.0,8048.0,14842.0
2011,205582.0,2137.0,15740.0,19324.0,19042.0,17909.0,19585.0,20716.0,21082.0,18793.0,15907.0,11850.0,8405.0,15091.0
2012,207374.0,2052.0,15624.0,19329.0,19352.0,17886.0,19464.0,20190.0,21142.0,19259.0,16137.0,12677.0,8918.0,15342.0
2013,209414.0,2092.0,15554.0,19518.0,19562.0,18059.0,19134.0,19741.0,21200.0,19623.0,16528.0,13284.0,9446.0,15674.0
2014,211381.0,2237.0,15197.0,19716.0,19673.0,18350.0,18797.0,19416.0,21151.0,19928.0,17040.0,13979.0,9869.0,16028.0
2015,213367.0,2438.0,14723.0,19957.0,19701.0,18810.0,18307.0,19474.0,20792.0,20278.0,17546.0,14723.0,10214.0,16403.0
2016,215475.0,2639.0,14443.0,20160.0,19743.0,19190.0,18028.0,19497.0,20349.0,20469.0,18038.0,15117.0,10893.0,16908.0
Male,,,,,,,,,,,,,,
1969,61886.0,2504.0,8090.0,6961.0,5777.0,5487.0,5761.0,5821.0,5188.0,4649.0,3862.0,2967.0,2145.0,2675.0
1970,63092.0,2726.0,8491.0,7173.0,5900.0,5466.0,5720.0,5784.0,5271.0,4695.0,3936.0,3016.0,2172.0,2741.0
1971,64133.0,2735.0,8683.0,7545.0,6122.0,5461.0,5653.0,5742.0,5357.0,4734.0,4013.0,3103.0,2177.0,2808.0
1972,65205.0,2727.0,8741.0,7985.0,6416.0,5555.0,5537.0,5740.0,5395.0,4787.0,4064.0,3179.0,2233.0,2847.0
1973,66631.0,2937.0,8955.0,8320.0,6739.0,5665.0,5446.0,5699.0,5481.0,4810.0,4120.0,3256.0,2288.0,2914.0
1974,68121.0,3196.0,9224.0,8710.0,7003.0,5763.0,5427.0,5620.0,5574.0,4827.0,4181.0,3324.0,2353.0,2920.0
1975,69388.0,3230.0,9403.0,9149.0,7206.0,5891.0,5396.0,5589.0,5546.0,4921.0,4246.0,3380.0,2413.0,3018.0
1976,70552.0,3089.0,9610.0,9386.0,7584.0,6109.0,5402.0,5524.0,5518.0,5014.0,4306.0,3451.0,2490.0,3069.0
1977,71829.0,3048.0,9780.0,9485.0,8034.0,6399.0,5495.0,5415.0,5520.0,5069.0,4364.0,3521.0,2555.0,3143.0
1978,73845.0,3591.0,10019.0,9705.0,8386.0,6720.0,5607.0,5330.0,5486.0,5164.0,4392.0,3585.0,2628.0,3230.0
1979,75567.0,3850.0,10182.0,9971.0,8789.0,6988.0,5707.0,5313.0,5412.0,5258.0,4417.0,3663.0,2696.0,3321.0
1980,76779.0,3713.0,10297.0,10211.0,9226.0,7191.0,5835.0,5278.0,5391.0,5236.0,4513.0,3723.0,2752.0,3413.0
1981,77772.0,3384.0,10328.0,10425.0,9463.0,7573.0,6045.0,5294.0,5324.0,5219.0,4606.0,3784.0,2819.0,3507.0
1982,78528.0,2973.0,10182.0,10640.0,9544.0,8021.0,6337.0,5385.0,5228.0,5213.0,4679.0,3832.0,2879.0,3615.0
1983,79108.0,2530.0,9932.0,10783.0,9745.0,8355.0,6650.0,5496.0,5158.0,5182.0,4744.0,3876.0,2938.0,3720.0
1984,79945.0,2285.0,9723.0,10896.0,9979.0,8751.0,6912.0,5608.0,5129.0,5140.0,4822.0,3868.0,3013.0,3819.0
1985,81053.0,2346.0,9501.0,10967.0,10240.0,9188.0,7106.0,5734.0,5113.0,5102.0,4817.0,3961.0,3066.0,3911.0
1986,82100.0,2391.0,9236.0,11008.0,10474.0,9417.0,7495.0,5928.0,5138.0,5036.0,4789.0,4067.0,3111.0,4009.0
1987,83108.0,2439.0,8963.0,10976.0,10708.0,9494.0,7942.0,6220.0,5219.0,4970.0,4779.0,4127.0,3145.0,4125.0
1988,84272.0,2601.0,8762.0,10969.0,10852.0,9703.0,8266.0,6528.0,5329.0,4915.0,4756.0,4167.0,3193.0,4229.0
1989,85618.0,2697.0,8737.0,10941.0,11011.0,9929.0,8663.0,6777.0,5456.0,4884.0,4730.0,4224.0,3212.0,4358.0
